game_date,player,card,url
2005-01-15,Ian Goodison,yellow,https://www.tranmere-web.com/match/2004/2005-01-15
2005-01-10,Ian Sharps,yellow,https://www.tranmere-web.com/match/2004/2005-01-10
2005-01-03,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2004/2005-01-03
2004-12-28,Mark Rankine,yellow,https://www.tranmere-web.com/match/2004/2004-12-28
2004-12-26,Mark Rankine,yellow,https://www.tranmere-web.com/match/2004/2004-12-26
2004-12-26,Iain Hume,yellow,https://www.tranmere-web.com/match/2004/2004-12-26
2004-12-18,Gary Jones,yellow,https://www.tranmere-web.com/match/2004/2004-12-18
2004-11-27,(Paul Brown 87),yellow,https://www.tranmere-web.com/match/2004/2004-11-27
2004-11-27,Mike Jackson,yellow,https://www.tranmere-web.com/match/2004/2004-11-27
2004-11-20,Mike Jackson,yellow,https://www.tranmere-web.com/match/2004/2004-11-20
2004-11-20,(Eugene Dadi 45),yellow,https://www.tranmere-web.com/match/2004/2004-11-20
2004-11-13,Mike Jackson,yellow,https://www.tranmere-web.com/match/2004/2004-11-13
2004-11-13,Calvin Zola,red,https://www.tranmere-web.com/match/2004/2004-11-13
2004-11-09,Mike Jackson,yellow,https://www.tranmere-web.com/match/2004/2004-11-09
2004-11-09,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2004/2004-11-09
2004-11-09,Jason McAteer,yellow,https://www.tranmere-web.com/match/2004/2004-11-09
2004-11-09,Iain Hume,yellow,https://www.tranmere-web.com/match/2004/2004-11-09
2004-10-30,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2004/2004-10-30
2004-10-30,Ian Sharps,yellow,https://www.tranmere-web.com/match/2004/2004-10-30
2004-10-19,John Achterberg,yellow,https://www.tranmere-web.com/match/2004/2004-10-19
2004-10-19,Iain Hume,yellow,https://www.tranmere-web.com/match/2004/2004-10-19
2004-10-02,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2004/2004-10-02
2004-10-02,Ian Sharps,yellow,https://www.tranmere-web.com/match/2004/2004-10-02
2004-10-02,Paul Hall,yellow,https://www.tranmere-web.com/match/2004/2004-10-02
2004-10-02,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2004/2004-10-02
2004-09-18,Mike Jackson,red,https://www.tranmere-web.com/match/2004/2004-09-18
2004-09-14,Ian Sharps,yellow,https://www.tranmere-web.com/match/2004/2004-09-14
2004-09-11,John Achterberg,yellow,https://www.tranmere-web.com/match/2004/2004-09-11
2004-09-11,Paul Hall,yellow,https://www.tranmere-web.com/match/2004/2004-09-11
2004-08-27,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2004/2004-08-27
2004-08-24,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2004/2004-08-24
2004-08-21,Paul Hall,yellow,https://www.tranmere-web.com/match/2004/2004-08-21
2004-08-21,(Iain Hume 65),yellow,https://www.tranmere-web.com/match/2004/2004-08-21
2004-08-14,Mark Rankine,yellow,https://www.tranmere-web.com/match/2004/2004-08-14
2004-08-14,Jason McAteer,yellow,https://www.tranmere-web.com/match/2004/2004-08-14
2004-08-10,Paul Hall,yellow,https://www.tranmere-web.com/match/2004/2004-08-10
2004-08-10,Chris Dagnall,yellow,https://www.tranmere-web.com/match/2004/2004-08-10
2004-08-10,Chris Dagnall,red,https://www.tranmere-web.com/match/2004/2004-08-10
2004-08-07,Jason McAteer,yellow,https://www.tranmere-web.com/match/2004/2004-08-07
2004-08-07,Mark Rankine,yellow,https://www.tranmere-web.com/match/2004/2004-08-07
2004-05-08,Ian Sharps,yellow,https://www.tranmere-web.com/match/2003/2004-05-08
2004-05-08,Tyrone Loran,yellow,https://www.tranmere-web.com/match/2003/2004-05-08
2004-05-08,Ian Sharps,red,https://www.tranmere-web.com/match/2003/2004-05-08
2004-05-01,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2004-05-01
2004-04-17,Gary Jones,yellow,https://www.tranmere-web.com/match/2003/2004-04-17
2004-04-10,Ian Goodison,yellow,https://www.tranmere-web.com/match/2003/2004-04-10
2004-04-10,Gary Jones,yellow,https://www.tranmere-web.com/match/2003/2004-04-10
2004-04-10,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2004-04-10
2004-04-06,Micky Mellon,yellow,https://www.tranmere-web.com/match/2003/2004-04-06
2004-04-06,Eugene Dadi,yellow,https://www.tranmere-web.com/match/2003/2004-04-06
2004-04-03,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2004-04-03
2004-03-24,Gary Jones,yellow,https://www.tranmere-web.com/match/2003/2004-03-24
2004-03-20,Graham Allen,yellow,https://www.tranmere-web.com/match/2003/2004-03-20
2004-03-16,Gary Jones,yellow,https://www.tranmere-web.com/match/2003/2004-03-16
2004-03-16,Iain Hume,yellow,https://www.tranmere-web.com/match/2003/2004-03-16
2004-03-10,Gareth Roberts,yellow,https://www.tranmere-web.com/match/2003/2004-03-10
2004-03-10,Sean Connelly,yellow,https://www.tranmere-web.com/match/2003/2004-03-10
2004-03-10,Ryan Taylor,yellow,https://www.tranmere-web.com/match/2003/2004-03-10
