game_date,ko_time,cup_round,cup_leg,cup_stage,cup_replay,cup_section,extra_time,pen_outcome,pen_score,pen_gf,pen_ga,agg_outcome,agg_score,agg_gf,agg_ga,away_goal_outcome,gg_outcome
1992-09-01,NA,P,NA,Preliminary round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-08-25,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,4-3,3,4,NA,NA
1992-08-19,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-04,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-12-17,NA,2,NA,2nd round replay,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-12-10,NA,SF,NA,Semi-final - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-12-07,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-11-26,NA,QF,NA,Quarter-final - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-11-16,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-10-29,NA,3,NA,3rd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-10-22,NA,2,NA,2nd round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-10-08,NA,2,2,2nd round 2nd leg,0,NA,0,NA,NA,NA,NA,W,4-2,4,2,NA,NA
1991-10-01,NA,1,NA,1st round - northern section,0,Northern,1,W,3-2,3,2,NA,NA,NA,NA,NA,NA
1991-09-25,NA,2,1,2nd round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-08-27,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,W,8-6,8,6,NA,NA
1991-08-20,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-06-01,NA,F,NA,Final,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-05-26,NA,F,NA,Final,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-05-22,NA,SF,2,Semi-final 2nd leg,0,NA,0,NA,NA,NA,NA,W,3-2,NA,NA,NA,NA
1991-05-19,NA,SF,1,Semi-final 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-04-09,NA,F,2,Final - northern section (2nd leg),0,Northern,0,NA,NA,NA,NA,W,1-4,NA,NA,NA,NA
1991-03-05,NA,F,1,Final - northern section (1st leg),0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-02-19,NA,SF,NA,Semi-final - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-01-29,NA,QF,NA,Quarter-final - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-01-15,NA,1,NA,1st round - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-12-08,NA,2,NA,2nd round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-27,NA,P,NA,Preliminary round - Northern Section - Group 7,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-17,NA,1,NA,1st round,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-06,NA,P,NA,Preliminary round - Northern Section - Group 7,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-09-03,NA,1,2,1st round 2nd leg,0,NA,0,NA,NA,NA,NA,L,2-3,2,3,NA,NA
1990-08-28,NA,1,1,1st round 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-27,NA,F,NA,Final,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-20,NA,F,NA,Final,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-05-16,NA,SF,2,Semi-final 2nd leg,0,NA,0,NA,NA,NA,NA,W,2-0,NA,NA,NA,NA
1990-05-13,NA,SF,1,Semi-final 1st leg,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-04-03,NA,F,2,Final - northern section (2nd leg),0,Northern,0,NA,NA,NA,NA,W,1-3,NA,NA,NA,NA
1990-03-12,NA,F,1,Final - northern section (1st leg),0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-02-20,NA,SF,NA,Semi-final - northern section,0,Northern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
