season,game_no,game_date,player_name,shirt_no,role,min_on,min_off
1988/89,31,1988-12-26,Ronnie Moore,5,starter
1988/89,31,1988-12-26,Eddie Bishop,12,sub
1988/89,31,1988-12-26,Chris Malkin,14,sub
1988/89,32,1988-12-31,Dave Higgins,2,starter
1988/89,32,1988-12-31,Chris Malkin,14,sub
1988/89,34,1989-01-07,Jim Steel,9,starter
1988/89,34,1989-01-07,Chris Malkin,14,sub
1988/89,35,1989-01-11,Ronnie Moore,5,starter
1988/89,35,1989-01-11,Johnny Morrissey,7,starter
1988/89,35,1989-01-11,Eddie Bishop,12,sub
1988/89,35,1989-01-11,Mark Hughes,14,sub
1988/89,36,1989-01-13,Mark Hughes,5,starter
1988/89,36,1989-01-13,Eddie Bishop,12,sub
1988/89,37,1989-01-17,Mark McCarrick,3,starter
1988/89,37,1989-01-17,Dave Martindale,4,starter
1988/89,37,1989-01-17,Eddie Bishop,12,sub
1988/89,37,1989-01-17,Kenny McKenna,14,sub
1988/89,38,1989-01-21,Dave Martindale,4,starter
1988/89,38,1989-01-21,Eddie Bishop,12,sub
1988/89,39,1989-01-28,Jim Steel,9,starter
1988/89,39,1989-01-28,Chris Malkin,14,sub
1988/89,40,1989-02-04,Dave Martindale,4,starter
1988/89,40,1989-02-04,Mark Hughes,5,starter
1988/89,40,1989-02-04,Eddie Bishop,12,sub
1988/89,40,1989-02-04,Tony Thomas,14,sub
1988/89,41,1989-02-10,Mark Hughes,5,starter
1988/89,41,1989-02-10,Chris Malkin,14,sub
1988/89,42,1989-02-18,Jimmy Harvey,8,starter
1988/89,42,1989-02-18,Dave Martindale,12,sub
1988/89,43,1989-02-25,Mark Hughes,5,starter
1988/89,43,1989-02-25,Chris Malkin,12,sub
1988/89,44,1989-03-01,Mark Hughes,5,starter
1988/89,44,1989-03-01,Chris Malkin,12,sub
1988/89,46,1989-03-11,Eddie Bishop,4,starter
1988/89,46,1989-03-11,Mark Hughes,5,starter
1988/89,46,1989-03-11,Dave Martindale,12,sub
1988/89,46,1989-03-11,Eddie Murray,14,sub
1988/89,48,1989-03-17,Mark Hughes,5,starter
1988/89,48,1989-03-17,Eddie Murray,12,sub
1988/89,49,1989-03-20,Dave Martindale,4,starter
1988/89,49,1989-03-20,Johnny Morrissey,7,starter
1988/89,49,1989-03-20,Eddie Bishop,12,sub
1988/89,49,1989-03-20,Chris Malkin,14,sub
1988/89,52,1989-04-01,Johnny Morrissey,7,starter
1988/89,52,1989-04-01,Chris Malkin,12,sub
1988/89,53,1989-04-05,Tony Thomas,4,starter
1988/89,53,1989-04-05,Dave Martindale,12,sub
1988/89,54,1989-04-07,Jimmy Harvey,8,starter
1988/89,54,1989-04-07,Steve Mungall,11,starter
1988/89,54,1989-04-07,Eddie Bishop,12,sub
1988/89,54,1989-04-07,Chris Malkin,14,sub
1988/89,55,1989-04-15,Mark Hughes,5,starter
1988/89,55,1989-04-15,Johnny Morrissey,7,starter
1988/89,55,1989-04-15,Chris Malkin,12,sub
1988/89,55,1989-04-15,Eddie Murray,14,sub
1988/89,56,1989-04-28,Jimmy Harvey,8,starter
1988/89,56,1989-04-28,Dave Martindale,12,sub
1988/89,57,1989-05-01,Eddie Bishop,4,starter
1988/89,57,1989-05-01,Johnny Morrissey,7,starter
1988/89,57,1989-05-01,Dave Martindale,12,sub
1988/89,57,1989-05-01,Chris Malkin,14,sub
1988/89,58,1989-05-06,Mark Hughes,5,starter
1988/89,58,1989-05-06,Jimmy Harvey,8,starter
1988/89,58,1989-05-06,Dave Martindale,12,sub
1988/89,58,1989-05-06,Eddie Murray,14,sub
1988/89,59,1989-05-09,Dave Martindale,4,starter
1988/89,59,1989-05-09,Jim Steel,9,starter
1988/89,59,1989-05-09,Eddie Bishop,12,sub
1988/89,59,1989-05-09,Chris Malkin,14,sub
1988/89,60,1989-05-13,Dave Martindale,4,starter
1988/89,60,1989-05-13,Eddie Bishop,12,sub
1989/90,1,1989-08-19,Jim Steel,9,starter
1989/90,1,1989-08-19,Chris Malkin,12,sub
1989/90,4,1989-08-29,Dave Higgins,2,starter
1989/90,4,1989-08-29,Johnny Morrissey,7,starter
1989/90,4,1989-08-29,David Fairclough,12,sub
1989/90,4,1989-08-29,Dave Martindale,14,sub
1989/90,5,1989-09-02,Mark Hughes,5,starter
1989/90,5,1989-09-02,David Fairclough,12,sub
1989/90,6,1989-09-09,Johnny Morrissey,7,starter
1989/90,6,1989-09-09,David Fairclough,12,sub
1989/90,7,1989-09-16,Eddie Bishop,4,starter
1989/90,7,1989-09-16,Mark Hughes,5,starter
1989/90,7,1989-09-16,David Fairclough,12,sub
1989/90,7,1989-09-16,Dave Martindale,14,sub
1989/90,8,1989-09-19,Shaun Garnett,6,starter
1989/90,8,1989-09-19,Johnny Morrissey,7,starter
1989/90,8,1989-09-19,Jim Steel,12,sub
1989/90,8,1989-09-19,Eddie Bishop,14,sub
1989/90,9,1989-09-22,Dave Martindale,4,starter
1989/90,9,1989-09-22,Eddie Bishop,14,sub
1989/90,10,1989-09-26,Dave Martindale,4,starter
1989/90,10,1989-09-26,Johnny Morrissey,7,starter
1989/90,10,1989-09-26,Jim Steel,12,sub
1989/90,10,1989-09-26,Eddie Bishop,14,sub
1989/90,11,1989-09-29,Dave Martindale,4,starter
1989/90,11,1989-09-29,Eddie Bishop,12,sub
1989/90,12,1989-10-03,Dave Martindale,4,starter
1989/90,12,1989-10-03,Johnny Morrissey,7,starter
1989/90,12,1989-10-03,Eddie Bishop,12,sub
1989/90,12,1989-10-03,Jim Steel,14,sub
1989/90,14,1989-10-14,Mark McCarrick,3,starter
1989/90,14,1989-10-14,Eddie Bishop,12,sub
1989/90,15,1989-10-16,Dave Martindale,4,starter
1989/90,15,1989-10-16,Steve Vickers,6,starter
1989/90,15,1989-10-16,Eddie Bishop,12,sub
1989/90,15,1989-10-16,Jim Steel,14,sub
1989/90,16,1989-10-20,Dave Martindale,4,starter
1989/90,16,1989-10-20,Chris Malkin,9,starter
1989/90,16,1989-10-20,Eddie Bishop,12,sub
1989/90,16,1989-10-20,Jim Steel,14,sub
1989/90,17,1989-10-23,Dave Higgins,2,starter
1989/90,17,1989-10-23,Johnny Morrissey,7,starter
1989/90,17,1989-10-23,David Fairclough,12,sub
1989/90,17,1989-10-23,Dave Martindale,14,sub
1989/90,19,1989-10-31,Mark McCarrick,3,starter
1989/90,19,1989-10-31,Jim Steel,14,sub
1989/90,21,1989-11-07,Mark McCarrick,3,starter
1989/90,21,1989-11-07,Johnny Morrissey,7,starter
1989/90,21,1989-11-07,Chris Malkin,12,sub
1989/90,21,1989-11-07,David Fairclough,14,sub
1989/90,22,1989-11-10,Jimmy Harvey,8,starter
1989/90,22,1989-11-10,Dave Martindale,12,sub
1989/90,23,1989-11-18,Johnny Morrissey,7,starter
1989/90,23,1989-11-18,Chris Malkin,14,sub
1989/90,24,1989-11-22,Eddie Bishop,4,starter
1989/90,24,1989-11-22,Johnny Morrissey,7,starter
1989/90,24,1989-11-22,Dave Martindale,12,sub
1989/90,24,1989-11-22,Chris Malkin,14,sub
1989/90,25,1989-11-25,Dave Martindale,4,starter
1989/90,25,1989-11-25,Steve Vickers,6,starter
1989/90,25,1989-11-25,Steve Mungall,12,sub
1989/90,25,1989-11-25,David Fairclough,14,sub
1989/90,26,1989-11-29,Dave Martindale,4,starter
1989/90,26,1989-11-29,Chris Malkin,7,starter
1989/90,26,1989-11-29,Eddie Bishop,12,sub
1989/90,26,1989-11-29,David Fairclough,14,sub
1989/90,27,1989-12-02,Dave Martindale,4,starter
1989/90,27,1989-12-02,Mark Hughes,5,starter
1989/90,27,1989-12-02,Eddie Bishop,12,sub
1989/90,27,1989-12-02,Kenny Irons,14,sub
1989/90,28,1989-12-12,Dave Higgins,2,starter
1989/90,28,1989-12-12,Shaun Garnett,14,sub
1989/90,29,1989-12-15,Dave Martindale,4,starter
1989/90,29,1989-12-15,David Fairclough,12,sub
1989/90,30,1989-12-26,Jimmy Harvey,8,starter
1989/90,30,1989-12-26,Chris Malkin,12,sub
1989/90,31,1989-12-30,David Fairclough,7,starter
1989/90,31,1989-12-30,Jimmy Harvey,8,starter
1989/90,31,1989-12-30,Chris Malkin,12,sub
1989/90,31,1989-12-30,Eddie Bishop,14,sub
1989/90,32,1990-01-06,Mark Hughes,5,starter
1989/90,32,1990-01-06,Jim Steel,12,sub
1989/90,34,1990-01-13,Chris Malkin,9,starter
1989/90,34,1990-01-13,Jim Steel,12,sub
1989/90,35,1990-01-19,Jimmy Harvey,8,starter
1989/90,35,1990-01-19,Chris Malkin,9,starter
1989/90,35,1990-01-19,Jim Steel,12,sub
1989/90,35,1990-01-19,Eddie Bishop,14,sub
1989/90,37,1990-02-03,Mark Hughes,5,starter
1989/90,37,1990-02-03,Jimmy Harvey,8,starter
1989/90,37,1990-02-03,Eddie Bishop,12,sub
1989/90,37,1990-02-03,Kenny Irons,14,sub
1989/90,38,1990-02-06,Jimmy Harvey,8,starter,,83
1989/90,38,1990-02-06,Eddie Bishop,12,sub,83,
1989/90,39,1990-02-09,Johnny Morrissey,7,starter
1989/90,39,1990-02-09,Chris Malkin,14,sub
1989/90,41,1990-02-17,Mark Hughes,5,starter
1989/90,41,1990-02-17,Eddie Bishop,12,sub
1989/90,43,1990-02-23,Tony Thomas,11,starter
1989/90,43,1990-02-23,Dave Martindale,14,sub
1989/90,44,1990-03-03,Ian Muir,10,starter
1989/90,44,1990-03-03,Dave Martindale,14,sub
1989/90,45,1990-03-06,Mark McCarrick,3,starter
1989/90,45,1990-03-06,Dave Martindale,12,sub
1989/90,46,1990-03-09,Tony Thomas,11,starter
1989/90,46,1990-03-09,Dave Martindale,12,sub
1989/90,47,1990-03-12,Steve Vickers,6,starter
1989/90,47,1990-03-12,Jimmy Harvey,8,starter
1989/90,47,1990-03-12,Eddie Bishop,12,sub
1989/90,47,1990-03-12,Johnny Morrissey,14,sub
1989/90,48,1990-03-17,Jimmy Harvey,8,starter
1989/90,48,1990-03-17,Eddie Bishop,12,sub
1989/90,50,1990-03-24,Mark Hughes,5,starter
1989/90,50,1990-03-24,Johnny Morrissey,14,sub
1989/90,51,1990-03-30,Chris Malkin,7,starter
