season,game_no,game_date,disam_name,player_name,goals_scored
1926/27,20,1926-12-18,Rimmer,Ellis Rimmer,1
1926/27,21,1926-12-25,Marquis,Fred Marquis,1
1926/27,21,1926-12-25,Flanagan,Jack Flanagan,1
1926/27,21,1926-12-25,Rimmer,Ellis Rimmer,1
1926/27,22,1926-12-27,Flanagan,Jack Flanagan,1
1926/27,22,1926-12-27,Jones,Tommy Jones,1
1926/27,23,1927-01-01,Lewis,Ginger Lewis,1
1926/27,23,1927-01-01,Flanagan,Jack Flanagan,5
1926/27,23,1927-01-01,OG,OG,1
1926/27,24,1927-01-08,Flanagan,Jack Flanagan,1
1926/27,24,1927-01-08,Jones,Tommy Jones,1
1926/27,25,1927-01-15,Matthews,Vince Matthews,1
1926/27,25,1927-01-15,White,Bob White,1
1926/27,25,1927-01-15,Proctor,Norman Proctor,1
1926/27,25,1927-01-15,Flanagan,Jack Flanagan,2
1926/27,25,1927-01-15,Jones,Tommy Jones,2
1926/27,25,1927-01-15,Rimmer,Ellis Rimmer,1
1926/27,27,1927-01-24,Rimmer,Ellis Rimmer,1
1926/27,28,1927-01-29,Flanagan,Jack Flanagan,1
1926/27,29,1927-02-05,White,Bob White,1
1926/27,29,1927-02-05,Flanagan,Jack Flanagan,2
1926/27,30,1927-02-12,Rimmer,Ellis Rimmer,1
1926/27,31,1927-02-19,Flanagan,Jack Flanagan,1
1926/27,31,1927-02-19,Jones,Tommy Jones,1
1926/27,32,1927-02-26,Rimmer,Ellis Rimmer,1
1926/27,33,1927-03-05,White,Bob White,1
1926/27,33,1927-03-05,Marquis,Fred Marquis,1
1926/27,33,1927-03-05,Flanagan,Jack Flanagan,1
1926/27,34,1927-03-19,Flanagan,Jack Flanagan,1
1926/27,34,1927-03-19,Jones,Tommy Jones,1
1926/27,34,1927-03-19,Rimmer,Ellis Rimmer,1
1926/27,35,1927-03-26,Jones,Tommy Jones,1
1926/27,36,1927-04-02,Rimmer,Ellis Rimmer,1
1926/27,39,1927-04-16,Marquis,Fred Marquis,1
1926/27,39,1927-04-16,Flanagan,Jack Flanagan,1
1926/27,39,1927-04-16,Rimmer,Ellis Rimmer,2
1926/27,40,1927-04-18,Flanagan,Jack Flanagan,2
1926/27,42,1927-04-23,Charlton,Billy Charlton,2
1926/27,42,1927-04-23,Jones,Tommy Jones,1
1926/27,43,1927-04-30,Marquis,Fred Marquis,2
1926/27,43,1927-04-30,Flanagan,Jack Flanagan,1
1926/27,43,1927-04-30,Jones,Tommy Jones,3
1926/27,44,1927-05-07,Flanagan,Jack Flanagan,1
1926/27,44,1927-05-07,Cartman,Bert Cartman,1
1927/28,1,1927-08-27,Flanagan,Jack Flanagan,1
1927/28,2,1927-08-29,Charlton,Billy Charlton,1
1927/28,3,1927-09-03,Waring,Pongo Waring,2
1927/28,3,1927-09-03,Jones,Tommy Jones,1
1927/28,4,1927-09-10,Lewis,Ginger Lewis,1
1927/28,4,1927-09-10,Rimmer,Ellis Rimmer,1
1927/28,5,1927-09-17,Charlton,Billy Charlton,1
1927/28,5,1927-09-17,Waring,Pongo Waring,1
1927/28,6,1927-09-24,Waring,Pongo Waring,2
1927/28,7,1927-10-01,Waring,Pongo Waring,1
1927/28,9,1927-10-15,Cartman,Bert Cartman,1
1927/28,9,1927-10-15,Charlton,Billy Charlton,1
1927/28,9,1927-10-15,Waring,Pongo Waring,2
1927/28,9,1927-10-15,Rimmer,Ellis Rimmer,1
1927/28,10,1927-10-22,Charlton,Billy Charlton,2
1927/28,10,1927-10-22,Littlehales,Harry Littlehales,1
1927/28,11,1927-10-29,Charlton,Billy Charlton,1
1927/28,11,1927-10-29,Rimmer,Ellis Rimmer,1
1927/28,12,1927-11-05,Waring,Pongo Waring,1
1927/28,12,1927-11-05,Rimmer,Ellis Rimmer,1
1927/28,14,1927-11-19,Charlton,Billy Charlton,2
1927/28,14,1927-11-19,Waring,Pongo Waring,1
1927/28,15,1927-11-26,Charlton,Billy Charlton,2
1927/28,15,1927-11-26,Waring,Pongo Waring,1
1927/28,16,1927-12-03,Cartman,Bert Cartman,1
1927/28,16,1927-12-03,Waring,Pongo Waring,3
1927/28,16,1927-12-03,Rimmer,Ellis Rimmer,1
1927/28,17,1927-12-10,Bamber,Jack Bamber,1
1927/28,17,1927-12-10,Rimmer,Ellis Rimmer,2
1927/28,18,1927-12-17,Littlehales,Harry Littlehales,1
1927/28,19,1927-12-24,Waring,Pongo Waring,1
1927/28,20,1927-12-27,Rimmer,Ellis Rimmer,1
1927/28,21,1927-12-31,Littlehales,Harry Littlehales,1
1927/28,22,1928-01-02,Littlehales,Harry Littlehales,1
1927/28,22,1928-01-02,Rimmer,Ellis Rimmer,1
1927/28,23,1928-01-07,Cartman,Bert Cartman,1
1927/28,23,1928-01-07,Jones,Tommy Jones,1
1927/28,23,1928-01-07,Waring,Pongo Waring,6
1927/28,23,1928-01-07,Littlehales,Harry Littlehales,2
1927/28,23,1928-01-07,OG,OG,1
1927/28,26,1928-01-28,Bedford,Fred Bedford,1
1927/28,26,1928-01-28,Charlton,Billy Charlton,1
1927/28,26,1928-01-28,Waring,Pongo Waring,1
1927/28,26,1928-01-28,Littlehales,Harry Littlehales,1
1927/28,26,1928-01-28,Rimmer,Ellis Rimmer,2
1927/28,27,1928-02-04,Bedford,Fred Bedford,1
1927/28,27,1928-02-04,Charlton,Billy Charlton,1
1927/28,28,1928-02-11,Charlton,Billy Charlton,1
1927/28,28,1928-02-11,Waring,Pongo Waring,2
1927/28,28,1928-02-11,Littlehales,Harry Littlehales,1
1927/28,29,1928-02-15,Charlton,Billy Charlton,1
1927/28,29,1928-02-15,Flanagan,Jack Flanagan,1
1927/28,29,1928-02-15,Littlehales,Harry Littlehales,1
1927/28,30,1928-02-18,Jones,Tommy Jones,2
1927/28,30,1928-02-18,Charlton,Billy Charlton,1
1927/28,30,1928-02-18,Flanagan,Jack Flanagan,1
1927/28,30,1928-02-18,Urmson,Fred Urmson,1
1927/28,31,1928-02-25,Littlehales,Harry Littlehales,1
1927/28,32,1928-03-03,Littlehales,Harry Littlehales,1
1927/28,32,1928-03-03,Flanagan,Jack Flanagan,1
1927/28,32,1928-03-03,Bevan,Harry Bevan,1
1927/28,33,1928-03-10,Charlton,Billy Charlton,1
1927/28,33,1928-03-10,Flanagan,Jack Flanagan,1
1927/28,34,1928-03-17,Jones,Tommy Jones,1
1927/28,35,1928-03-24,Charlton,Billy Charlton,3
1927/28,35,1928-03-24,Flanagan,Jack Flanagan,1
1927/28,35,1928-03-24,Littlehales,Harry Littlehales,1
1927/28,36,1928-03-31,Jones,Tommy Jones,2
1927/28,36,1928-03-31,Charlton,Billy Charlton,1
1927/28,36,1928-03-31,Flanagan,Jack Flanagan,3
1927/28,36,1928-03-31,Littlehales,Harry Littlehales,1
1927/28,37,1928-04-06,Flanagan,Jack Flanagan,1
1927/28,37,1928-04-06,Bevan,Harry Bevan,1
1927/28,37,1928-04-06,Urmson,Fred Urmson,1
1927/28,38,1928-04-07,Jones,Tommy Jones,1
1927/28,38,1928-04-07,Charlton,Billy Charlton,1
1927/28,38,1928-04-07,Littlehales,Harry Littlehales,1
1927/28,39,1928-04-09,Charlton,Billy Charlton,1
1927/28,39,1928-04-09,Flanagan,Jack Flanagan,1
1927/28,42,1928-04-24,Jones,Tommy Jones,2
1927/28,42,1928-04-24,Charlton,Billy Charlton,2
1927/28,42,1928-04-24,Flanagan,Jack Flanagan,1
1927/28,44,1928-05-01,Flanagan,Jack Flanagan,1
1927/28,44,1928-05-01,Littlehales,Harry Littlehales,1
1927/28,45,1928-05-05,Beswick,Sammy Beswick,2
1928/29,1,1928-08-25,Jones,Tommy Jones,1
1928/29,2,1928-08-27,Littlehales,Harry Littlehales,1
1928/29,3,1928-09-01,Flanagan,Jack Flanagan,1
