season,game_no,scorers
1930/31,13,"Sammy Meston, Farewell Watts 2, Ernie Dixon 2, Jack Kennedy 2"
1930/31,14,"Farewell Watts, Jack Kennedy 2"
1930/31,15,"Farewell Watts 3, Ernie Dixon 2"
1930/31,16,"Sammy Meston, Jack Kennedy 2"
1930/31,17,"Ginger Lewis, Farewell Watts, Ernie Dixon, Fred Urmson"
1930/31,18,"Farewell Watts, Fred Urmson"
1930/31,20,"Farewell Watts, Ernie Dixon, Jack Kennedy 2"
1930/31,22,"Farewell Watts 2, Ernie Dixon 2, Jack Kennedy 2"
1930/31,23,"Farewell Watts, Jack Kennedy 3"
1930/31,24,"Ginger Lewis, Farewell Watts, Ernie Dixon 2, Jack Kennedy"
1930/31,25,Farewell Watts
1930/31,26,Ernie Dixon
1930/31,27,"Farewell Watts, Ernie Dixon 3, Jack Kennedy 4"
1930/31,28,"Sammy Meston, Ernie Dixon 2"
1930/31,30,"Jack Kennedy, Fred Urmson"
1930/31,31,"Sammy Meston, Farewell Watts, Ernie Dixon"
1930/31,32,Jack Kennedy
1930/31,33,"Farewell Watts, Ernie Dixon 2"
1930/31,34,"Ernie Dixon, Jack Kennedy 2, Fred Urmson"
1930/31,35,"Farewell Watts, Ernie Dixon 2, Jack Kennedy, Fred Urmson"
1930/31,36,Ernie Dixon 2
1930/31,37,"Sammy Meston, Farewell Watts, Fred Urmson"
1930/31,38,Fred Urmson 2
1930/31,40,"Ernie Dixon, Jack Kennedy"
1930/31,41,Teddy Barton
1930/31,43,Jack Kennedy
1931/32,1,"Farewell Watts, Ernie Dixon"
1931/32,3,"Sammy Meston, Farewell Watts, Ernie Dixon, Jack Kennedy, Fred Urmson"
1931/32,5,"Farewell Watts 2, Ernie Dixon 2, Fred Urmson 2"
1931/32,6,"Ernie Dixon, OG"
1931/32,7,Jack Kennedy
1931/32,8,"Sammy Meston 2, Bert Fishwick, Bert Whitehurst 4, Fred Urmson"
1931/32,9,Sammy Meston
1931/32,10,"Bert Fishwick, Jack Kennedy, Fred Urmson"
1931/32,11,Sammy Meston
1931/32,12,"Bert Whitehurst, Bert Fishwick"
1931/32,13,"Ginger Lewis, Fred Urmson"
1931/32,14,"Ernie Dixon, OG"
1931/32,15,"Sammy Meston 2, Ernie Dixon, Jack Kennedy 2"
1931/32,16,"Ernie Dixon, Bert Whitehurst, Fred Urmson"
1931/32,17,"Farewell Watts, Ernie Dixon 2, Bert Whitehurst, OG"
1931/32,18,"Sammy Meston, Ernie Dixon"
1931/32,19,"Ernie Dixon, Bert Whitehurst, Fred Urmson, OG"
1931/32,20,"Sammy Meston, Farewell Watts 5, Ernie Dixon 2, Bert Whitehurst"
1931/32,21,"Ginger Lewis, Sammy Meston, Farewell Watts, Ernie Dixon, Fred Urmson 2"
1931/32,22,Sammy Meston
1931/32,23,Ernie Dixon 2
1931/32,24,"Farewell Watts, Ernie Dixon"
1931/32,25,"Farewell Watts, Bert Whitehurst 2"
1931/32,26,Bert Whitehurst
1931/32,27,"Jack Kennedy, Fred Urmson"
1931/32,29,"Farewell Watts, Ernie Dixon"
1931/32,30,"Teddy Barton, Jack Kennedy"
1931/32,31,"Farewell Watts 2, OG"
1931/32,32,Bert Fishwick
1931/32,33,"Ernie Dixon, Fred Urmson 2"
1931/32,34,"Sammy Meston 2, Bunny Bell 2, Ernie Dixon, Fred Urmson"
1931/32,36,Bunny Bell
1931/32,37,Bunny Bell
1931/32,39,"Bert Fishwick, Jack Kennedy 2, Fred Urmson 2"
1931/32,40,"Bunny Bell 2, Jack Kennedy, OG"
1931/32,41,Bunny Bell 3
1931/32,43,"Bunny Bell 3, Bert Whitehurst"
1931/32,44,"Ernie Dixon, Fred Urmson"
1932/33,1,"Bunny Bell 2, Bert Whitehurst"
1932/33,2,Bunny Bell
1932/33,3,Bert Fishwick
1932/33,4,"Bunny Bell, Teddy Spencer, Fred Urmson"
1932/33,5,"Bert Fishwick, Bunny Bell"
1932/33,6,Bunny Bell
1932/33,7,"Bunny Bell, Fred Urmson"
1932/33,8,"Reg Spencer, Bunny Bell 2, Bert Whitehurst"
1932/33,10,"Itom McMurray, Bert Whitehurst, Fred Urmson"
1932/33,11,Itom McMurray 2
1932/33,12,Bert Whitehurst
1932/33,13,Farewell Watts
1932/33,14,"Itom McMurray, Bunny Bell"
1932/33,16,"Ernie Dixon, Bert Whitehurst, Fred Urmson"
1932/33,17,Ernie Dixon
1932/33,18,"Bert Whitehurst, Fred Urmson"
1932/33,19,"Farewell Watts 2, Ernie Dixon"
1932/33,21,"Ernie Dixon 2, Bert Whitehurst 2"
1932/33,22,"Bunny Bell, OG"
1932/33,23,"Bert Fishwick, Bert Whitehurst 2"
1932/33,24,"Fred Urmson, OG 2"
1932/33,25,Bert Whitehurst 2
1932/33,26,"Bert Whitehurst, Fred Urmson"
1932/33,27,"Arthur Adams, Farewell Watts, Bert Whitehurst"
1932/33,28,Fred Urmson
1932/33,31,Bert Whitehurst
1932/33,32,"Bunny Bell, Fred Urmson"
1932/33,33,"Farewell Watts, Fred Urmson"
1932/33,35,"Farewell Watts, OG"
1932/33,37,Teddy Spencer
1932/33,38,Fred Urmson
1932/33,39,"Bert Fishwick, Farewell Watts 2, Fred Urmson 2"
1932/33,40,"Robert Tong, Bunny Bell 2"
1932/33,41,"Farewell Watts, Bert Whitehurst, Fred Urmson"
1932/33,42,"Bunny Bell, OG"
1932/33,43,"Bunny Bell, Bert Whitehurst"
1932/33,47,Bunny Bell
1933/34,1,"Bert Whitehurst 2, Billy Woodward 3"
1933/34,3,"William Mackay, Farewell Watts, Fred Urmson"
1933/34,4,"Farewell Watts 2, Bert Whitehurst"
1933/34,5,"Farewell Watts, Bert Whitehurst"
1933/34,6,"Bert Whitehurst, Billy Woodward"
1933/34,9,Bunny Bell
1933/34,10,"Bunny Bell 4, Billy Woodward"
1933/34,11,Bunny Bell 2
1933/34,12,Bunny Bell
1933/34,14,"Bob Meacock, Bunny Bell 3, Fred Urmson 2"
1933/34,16,"Bunny Bell 4, Teddy Spencer 2, Fred Urmson"
1933/34,17,Bunny Bell
1933/34,18,"Tich Pearson, Bunny Bell 2, Billy Woodward"
1933/34,19,"Bunny Bell, Fred Urmson"
1933/34,20,"Bob Meacock, Bunny Bell 3, Billy Woodward"
1933/34,21,Fred Urmson
1933/34,22,"Bunny Bell, Fred Urmson"
1933/34,23,"Bunny Bell, Fred Urmson"
1933/34,24,"Farewell Watts, Billy Woodward, Fred Urmson"
1933/34,25,"Robert Hunt, Bunny Bell, Fred Urmson 2"
1933/34,26,"Billy Woodward, Fred Urmson"
1933/34,27,Bob Meacock
1933/34,28,"Bunny Bell, Fred Urmson"
1933/34,30,"Robert Hunt, Bunny Bell 2, Fred Urmson"
1933/34,32,Teddy Barton
1933/34,33,Bunny Bell
1933/34,34,"Billy Woodward 2, James Pennington"
1933/34,35,Bunny Bell 3
1933/34,36,Bunny Bell 2
1933/34,37,Billy Woodward
1933/34,38,"Samuel Brown, Billy Woodward"
1933/34,39,"Bunny Bell 2, Billy Woodward"
1933/34,40,"Samuel Brown, Fred Urmson 2"
1933/34,41,Billy Woodward
1933/34,42,"Bunny Bell, Fred Urmson 2"
1933/34,43,Fred Urmson
1933/34,44,Jack Watson
1933/34,45,Bunny Bell 3
1933/34,46,Fred Urmson
1934/35,1,"Bunny Bell 2, Fred Urmson"
1934/35,2,"Bunny Bell, Willie MacDonald"
1934/35,3,Fred Urmson
1934/35,4,Bunny Bell 2
1934/35,5,"Horace Baker, Bunny Bell"
1934/35,6,Fred Urmson
1934/35,7,"Horace Baker, Fred Urmson"
1934/35,8,Billy Woodward
1934/35,9,Willie MacDonald
1934/35,10,"Horace Baker, Bob Meacock, Fred Urmson 2"
1934/35,11,"Reg Spencer, Meynell Burgin 2, Billy Woodward"
1934/35,12,"Willie MacDonald, Fred Urmson"
1934/35,13,"Horace Baker, Fred Urmson"
1934/35,14,Meynell Burgin 2
1934/35,15,"Horace Baker 2, Billy Woodward"
1934/35,16,"Horace Baker 2, Fred Urmson"
1934/35,17,"Horace Baker, Meynell Burgin, Billy Woodward"
1934/35,18,Meynell Burgin 2
1934/35,19,"Horace Baker, Willie MacDonald, Meynell Burgin, Fred Urmson"
1934/35,22,Meynell Burgin 2
1934/35,23,Billy Woodward
1934/35,24,Meynell Burgin
1934/35,25,"Willie MacDonald, Meynell Burgin 3"
1934/35,26,"Meynell Burgin, Billy Woodward"
1934/35,27,"Meynell Burgin, Fred Urmson"
1934/35,29,Bert Heywood
1934/35,30,"Meynell Burgin, Billy Woodward"
1934/35,31,"Meynell Burgin 2, Fred Urmson"
1934/35,34,"William Glasper, Meynell Burgin, Billy Woodward, OG"
1934/35,36,Meynell Burgin 2
1934/35,38,"Willie MacDonald 2, Billy Woodward, Fred Urmson 2"
1934/35,40,Willie MacDonald
1934/35,41,"Meynell Burgin, Billy Woodward"
1934/35,43,"Willie MacDonald 2, Billy Woodward"
1935/36,2,"Hugh McLaren, Bunny Bell"
1935/36,3,"Hugh McLaren, Billy Woodward, Fred Urmson"
1935/36,4,Bunny Bell
1935/36,5,Willie MacDonald
1935/36,6,Bunny Bell 2
1935/36,7,"Bunny Bell 2, Billy Woodward"
1935/36,8,"Billy Eden, Willie MacDonald, Billy Woodward"
1935/36,9,"Hugh McLaren, Fred Urmson"
1935/36,11,Bunny Bell
1935/36,12,"Billy Eden, Bunny Bell 3"
1935/36,14,"Bunny Bell 4, OG 2"
1935/36,15,Bunny Bell
1935/36,16,"Bunny Bell 2, Fred Urmson"
1935/36,17,"Billy Woodward 2, Fred Urmson"
1935/36,18,"Willie MacDonald 2, Bunny Bell, Fred Urmson 2"
1935/36,19,"Billy Eden, Bunny Bell 3, Fred Urmson 2"
