season,game_no,scorers
1962/63,29,"Dave Hickson, Ralph Gubbins, Barry Dyson"
1962/63,30,Dave Hickson
1962/63,32,"Dave Hickson 2, OG"
1962/63,33,John Manning 2
1962/63,35,"Barry Dyson 2, Jimmy Milner"
1962/63,36,"Johnny King, Barry Dyson, Dave Hickson"
1962/63,37,"Barry Dyson, Dave Hickson"
1962/63,40,"Dave Hickson, OG"
1962/63,42,"Barry Dyson, David Jackson 3, Ronnie Roberts"
1962/63,43,Barry Dyson
1962/63,44,"Ralph Gubbins, David Jackson"
1962/63,46,Barry Dyson
1962/63,48,John Manning 2
1962/63,49,"John Manning, Joe Pritchard 2"
1962/63,50,"Barry Dyson, Alan King"
1963/64,1,Barry Dyson
1963/64,2,Barry Dyson
1963/64,3,"Johnny King, Ralph Gubbins, Les Jones 2, Dave Hickson, OG"
1963/64,4,Barry Dyson 2
1963/64,5,"Les Jones, Dave Hickson, Barry Dyson 2"
1963/64,6,"Les Jones, Barry Dyson"
1963/64,9,Barry Dyson
1963/64,10,"Bobby Conroy, Barry Dyson"
1963/64,12,"Les Campbell, OG"
1963/64,14,"Peter Jackson, John Manning"
1963/64,15,Bernard Evans
1963/64,16,Barry Dyson
1963/64,17,Bernard Evans
1963/64,19,"Charlie McDonnell, Bernard Evans"
1963/64,20,"Barry Dyson, Ronnie Roberts"
1963/64,21,"Bernard Evans, Barry Dyson"
1963/64,22,Charlie McDonnell
1963/64,24,Les Jones
1963/64,25,"Les Jones, John Manning, Barry Dyson"
1963/64,26,"Les Campbell, John Manning, OG"
1963/64,27,"John Manning, Barry Dyson"
1963/64,28,Barry Dyson
1963/64,29,John Manning
1963/64,30,"Les Jones, John Manning 2"
1963/64,31,"John Manning, Barry Dyson 2"
1963/64,32,"Les Jones, John Manning, Barry Dyson"
1963/64,33,"John Manning, Barry Dyson 2"
1963/64,34,John Manning
1963/64,35,"Peter Jackson, Les Jones, Barry Dyson"
1963/64,36,"Malcolm Edwards, John Manning"
1963/64,37,"Les Jones, Barry Dyson"
1963/64,38,"Les Jones, Barry Dyson"
1963/64,40,John Manning 2
1963/64,41,"Les Campbell, Les Jones, John Manning, Barry Dyson"
1963/64,42,"Les Jones, OG"
1963/64,44,Barry Dyson 2
1963/64,45,"Les Campbell, Les Jones, John Manning, Barry Dyson 2"
1963/64,46,"Les Jones, Barry Dyson"
1963/64,47,"Bernard Evans, OG"
1963/64,48,Barry Dyson
1963/64,49,John Manning 2
1963/64,50,John Manning 2
1964/65,1,"John Manning 2, Barry Dyson 3"
1964/65,2,"Jack Lornie, John Manning 2, Charlie McDonnell"
1964/65,3,Barry Dyson
1964/65,4,"John Manning 2, Barry Dyson, Charlie McDonnell"
1964/65,5,"John Manning, Charlie McDonnell"
1964/65,6,John Manning
1964/65,8,John Manning
1964/65,9,"John Manning 2, Charlie McDonnell, Jimmy Weir"
1964/65,10,"Barry Dyson 2, Les Jones 2, Jimmy Weir"
1964/65,12,"Mandy Hill, Barry Dyson, John Manning 2, Charlie McDonnell, Jimmy Weir"
1964/65,14,"John Manning, Charlie McDonnell"
1964/65,15,"Barry Dyson 2, Charlie McDonnell"
1964/65,17,"John Manning 3, Charlie McDonnell 2"
1964/65,18,"Mandy Hill 2, Charlie McDonnell"
1964/65,19,"Eddie Stuart, John Manning"
1964/65,20,"John Manning, Charlie McDonnell 2"
1964/65,21,"Les Jones 2, John Manning"
1964/65,22,"Alan King, Charlie McDonnell, Alan A'Court"
1964/65,25,Barry Dyson 2
1964/65,26,"Roy Sinclair, Barry Dyson, Charlie McDonnell, Alan A'Court"
1964/65,27,Charlie McDonnell
1964/65,28,"Barry Dyson 2, Charlie McDonnell"
1964/65,29,"Les Jones 2, Barry Dyson, Charlie McDonnell"
1964/65,30,Barry Dyson
1964/65,31,Barry Dyson
1964/65,33,"Charlie McDonnell, OG"
1964/65,35,"Mandy Hill, Barry Dyson"
1964/65,36,"John Manning, Charlie McDonnell"
1964/65,37,"Barry Dyson, John Manning, Charlie McDonnell"
1964/65,38,Barry Dyson
1964/65,39,Charlie McDonnell 2
1964/65,40,Barry Dyson
1964/65,41,Eddie Stuart
1964/65,43,"Barry Dyson, Charlie McDonnell 2, Alan A'Court"
1964/65,44,"Alan King, Roy Sinclair, Barry Dyson, Alan A'Court"
1964/65,45,Barry Dyson
1964/65,47,Barry Dyson 2
1964/65,48,Barry Dyson
1964/65,49,"Jack Lornie, Barry Dyson"
1965/66,1,Barry Dyson 2
1965/66,2,Alan King
1965/66,3,Frank Twist
1965/66,4,"John Manning, Barry Dyson"
1965/66,5,Barry Dyson 2
1965/66,6,"Barry Dyson, Bruce Crawford"
1965/66,7,"Joe Pritchard, Bruce Crawford"
1965/66,8,Barry Dyson
1965/66,10,Barry Dyson 2
1965/66,11,"Alan King, John Manning 2, Barry Dyson, OG"
1965/66,14,Roy Parnell
1965/66,15,"Jack Lornie 2, John Manning, Barry Dyson 2"
1965/66,16,Alan King
1965/66,17,"Alan King, John Manning 2, Barry Dyson 2, OG"
1965/66,18,"Joe Pritchard, John Manning"
1965/66,19,John Manning
1965/66,22,"Bruce Crawford, John Manning, Barry Dyson"
1965/66,24,"John Manning, Barry Dyson 2, Roy Sinclair 3"
1965/66,25,Barry Dyson
1965/66,27,"John Manning 2, Barry Dyson, Bruce Crawford, Alan A'Court 2"
1965/66,28,"Jack Lornie, Bruce Crawford, Graham Stanley"
1965/66,30,"Alan King 2, Barry Dyson, Roy Sinclair, Alan A'Court"
1965/66,31,"Mandy Hill, Barry Dyson, Alan A'Court"
1965/66,32,"Joe Pritchard, Barry Dyson 2"
1965/66,33,"John Manning, Alan A'Court 3"
1965/66,34,Barry Dyson
1965/66,35,OG
1965/66,36,Barry Dyson
1965/66,37,John Manning
1965/66,38,John Manning
1965/66,39,Alan King
1965/66,40,Jack Lornie
1965/66,42,Roy Parnell
1965/66,44,Alan King
1965/66,45,"Mandy Hill, John Manning 2, Barry Dyson 2, Frank Twist"
1965/66,46,"Mandy Hill, Barry Dyson, Frank Twist"
1965/66,47,"John Manning, Barry Dyson 3, Joe Pritchard"
1965/66,48,"John Manning, OG"
1966/67,2,"Barry Ashworth, John Manning 2, Barry Dyson, Roy Sinclair"
1966/67,4,Graham Williams
1966/67,5,"John Manning, Barry Dyson 2"
1966/67,6,"Mandy Hill, John Manning"
1966/67,7,Joe Pritchard
1966/67,8,John Manning
1966/67,10,Graham Williams
1966/67,11,Roy Sinclair 2
1966/67,12,"Barry Ashworth, Joe Pritchard"
1966/67,13,Joe Pritchard
1966/67,14,"Barry Ashworth, Alan King, John Manning 2, Brian Westlake"
1966/67,15,"Joe Pritchard, Graham Williams"
1966/67,17,"Joe Pritchard, Brian Westlake"
1966/67,19,Brian Westlake
1966/67,20,Mandy Hill
1966/67,22,Roy Parnell
1966/67,23,Graham Williams
1966/67,25,Joe Pritchard
1966/67,26,George Yardley
1966/67,28,"George Yardley 2, Alan King"
1966/67,29,George Yardley
1966/67,30,"Barry Ashworth, Graham Williams"
1966/67,31,Graham Williams
1966/67,32,"George Yardley, George Hudson, Graham Williams, OG"
1966/67,34,"George Yardley, Joe Pritchard"
1966/67,35,George Yardley 2
1966/67,36,"Teddie Robertson, George Yardley"
1966/67,37,"George Yardley, George Hudson"
1966/67,39,George Yardley
1966/67,40,Joe Pritchard
1966/67,41,"Johnny King, George Yardley"
1966/67,43,Dennis Stevens
1966/67,44,Stan Storton
1966/67,45,"George Hudson, Roy Sinclair"
1966/67,46,"George Yardley 2, George Hudson"
1966/67,47,Joe Pritchard
1966/67,48,"Alan King, George Yardley, Graham Williams"
1966/67,49,Graham Williams
1966/67,51,"Dennis Stevens, George Hudson, Graham Williams"
1966/67,52,"George Hudson, George Yardley, Joe Pritchard"
1967/68,2,"Joe Pritchard, George Yardley"
1967/68,3,George Yardley
1967/68,4,George Yardley
1967/68,5,Joe Pritchard 2
1967/68,6,George Yardley 4
1967/68,9,"Joe Pritchard, George Yardley"
1967/68,10,Alan King
1967/68,11,"Gerry Casey, George Yardley 3"
1967/68,12,George Yardley
1967/68,13,"Dennis Stevens, Joe Pritchard, Graham Williams"
1967/68,14,Joe Pritchard
1967/68,16,George Yardley 2
1967/68,17,"George Yardley, Kenny Beamish"
1967/68,18,Graham Williams
1967/68,19,"Alan King, Joe Pritchard, Kenny Beamish"
1967/68,20,George Yardley 3
1967/68,21,Joe Pritchard
1967/68,22,George Yardley
1967/68,23,"George Yardley, George Hudson 2"
1967/68,24,"George Yardley, George Hudson 3, Graham Williams"
1967/68,25,George Hudson 2
1967/68,27,George Yardley
1967/68,28,"Alan King, George Yardley"
1967/68,29,"Dennis Stevens, George Yardley, John MacNamee"
1967/68,30,"Alan King, John MacNamee"
1967/68,31,"Kenny Beamish, Graham Williams"
1967/68,32,"Alan King, John MacNamee"
1967/68,33,"George Yardley, Graham Williams"
1967/68,34,Alan King
1967/68,35,"George Yardley, George Hudson"
1967/68,36,Kenny Beamish
1967/68,37,"George Yardley, Kenny Beamish"
1967/68,38,Mandy Hill
1967/68,42,Derek Smith
1967/68,43,"John MacNamee, Kenny Beamish, Roy Sinclair"
1967/68,44,Alan King
1967/68,45,Joe Pritchard
1967/68,48,Joe Pritchard
1967/68,51,"Roy Sinclair, Joe Pritchard"
1967/68,52,Joe Pritchard
1967/68,54,George Hudson
1968/69,1,"Gerry Casey, George Yardley"
1968/69,3,George Yardley
1968/69,4,"Gerry Casey, George Yardley"
1968/69,5,George Yardley
1968/69,6,George Yardley
1968/69,7,"Kenny Beamish, George Yardley"
1968/69,8,Gerry Casey
1968/69,10,"George Yardley 2, Alan King"
1968/69,12,John MacNamee
1968/69,15,"Frank Gill, Alan King"
1968/69,16,"Derek Smith, Kenny Beamish, George Hudson"
1968/69,17,"George Yardley, John MacNamee 2"
1968/69,18,"Derek Smith, George Yardley"
1968/69,20,George Hudson
1968/69,21,"Derek Smith, Kenny Beamish"
1968/69,22,"George Hudson, Roy Sinclair"
1968/69,23,"George Yardley 2, Roy Sinclair"
1968/69,25,Kenny Beamish
1968/69,26,"George Yardley 2, Roy Sinclair 2"
1968/69,28,"George Hudson, Kenny Beamish"
1968/69,30,"Gerry Casey, George Hudson, Kenny Beamish 2"
1968/69,31,George Hudson
1968/69,32,Roy Sinclair
1968/69,33,"Gerry Casey, Joe Pritchard, Roy Sinclair"
1968/69,37,Alan King
1968/69,38,"George Hudson, OG"
1968/69,40,John MacNamee
1968/69,41,"John Rowland, Kenny Beamish"
1968/69,42,"Dave Moorcroft, Kenny Beamish"
1968/69,43,"Alan King, Derek Smith"
1968/69,44,Kenny Beamish
1968/69,45,"Alan King, John Rowland"
1968/69,46,"Alan King, Derek Smith 2, Kenny Beamish 3"
1968/69,47,"John Rowland, Derek Smith 2, Kenny Beamish, John MacNamee"
1968/69,49,Derek Smith 2
1968/69,52,John MacNamee
1969/70,1,"George Yardley 2, Derek Smith"
1969/70,2,Kenny Beamish
1969/70,3,"George Yardley 2, Derek Smith"
1969/70,4,"Kenny Beamish, Joe Pritchard, George Yardley"
1969/70,5,John MacNamee
1969/70,6,George Yardley
1969/70,7,"George Yardley, Derek Smith"
1969/70,8,Alan King
1969/70,9,Derek Smith
1969/70,11,George Yardley 3
1969/70,15,George Yardley
1969/70,16,"George Yardley, Derek Smith, John MacNamee 2, OG"
1969/70,19,"Alan King, Kenny Beamish"
1969/70,20,"Derek Smith, Kenny Beamish"
1969/70,21,"Stan Storton, Derek Smith"
1969/70,22,"Kenny Beamish, George Yardley 2"
1969/70,23,"Kenny Beamish, Derek Smith"
1969/70,24,Derek Smith
1969/70,26,"Kenny Beamish, George Scott"
1969/70,27,"Eric Brodie, George Scott, Derek Smith"
1969/70,28,Derek Smith
1969/70,29,"Derek Smith, Kenny Beamish"
1969/70,31,"Kenny Beamish, John MacNamee"
1969/70,35,Derek Smith
1969/70,38,George Yardley
1969/70,39,Alan King
1969/70,41,Kenny Beamish
1969/70,43,Alan King
1969/70,44,"Joe Pritchard, Kenny Beamish, George Yardley"
1969/70,46,Alan King
1969/70,47,George Yardley
1969/70,48,George Yardley
1969/70,49,"Alan King, Jimmy Hinch, Frank Gill"
1969/70,50,Tony Knapp
1969/70,51,George Yardley
1969/70,52,"Kenny Beamish, Jimmy Hinch, Frank Gill 3"
1969/70,54,Kenny Beamish
1969/70,55,George Yardley
1970/71,1,Kenny Beamish
1970/71,2,"George Yardley, Jimmy Hinch"
1970/71,4,"Kenny Beamish 3, Alan King"
1970/71,5,"George Yardley, OG"
1970/71,6,George Yardley
1970/71,7,"Jimmy Hinch, Frank Gill"
1970/71,8,George Yardley
1970/71,11,Jimmy Hinch
1970/71,12,Jimmy Hinch
1970/71,14,Frank Gill
1970/71,15,Jimmy Hinch
1970/71,16,Malcolm Moore
1970/71,17,"Eric Brodie, Malcolm Moore, Jimmy Hinch"
1970/71,19,"Brian Joy, Kenny Beamish, Malcolm Moore, Jimmy Hinch"
1970/71,20,Malcolm Moore 2
1970/71,23,Frank Gill
1970/71,27,"Kenny Beamish 3, Jimmy Hinch 2"
1970/71,28,Kenny Beamish
1970/71,30,"Paul Crossley, Kenny Beamish, Malcolm Moore"
1970/71,32,Jimmy Hinch
1970/71,34,"Malcolm Moore, Eric Brodie"
1970/71,37,"John Dempsey, Malcolm Moore, Frank Gill"
1970/71,38,Malcolm Moore 2
1970/71,39,Kenny Beamish
1970/71,41,Paul Crossley
1970/71,42,"Paul Crossley 2, Trevor Storton"
1970/71,43,Kenny Beamish
1970/71,46,OG
1970/71,48,Kenny Beamish
1970/71,53,Eric Brodie
1971/72,1,"Kenny Beamish, Trevor Storton"
1971/72,2,Eric Brodie
1971/72,3,Ray Mathias
1971/72,4,"Malcolm Moore, Kenny Beamish 2"
1971/72,7,Kenny Beamish
1971/72,10,Trevor Storton 2
1971/72,12,"John Coyne, Paul Crossley"
1971/72,13,"John Coyne, Kenny Beamish"
1971/72,14,"Kenny Beamish, John Coyne"
1971/72,17,"Alex Russell, Kenny Beamish"
1971/72,18,Kenny Beamish
1971/72,19,"Alex Russell, Alan King"
1971/72,20,Alex Russell
1971/72,21,"Alan King, Malcolm Moore, Paul Crossley 2"
1971/72,22,Malcolm Moore
1971/72,23,Kenny Beamish
1971/72,24,"Trevor Storton, Paul Crossley"
1971/72,25,"Eric Brodie, Kenny Beamish, Malcolm Moore, Paul Crossley"
1971/72,26,"Alex Russell, Kenny Beamish"
1971/72,28,"Kenny Beamish, Trevor Storton, Paul Crossley"
1971/72,29,Paul Crossley
1971/72,31,"Kenny Beamish, Malcolm Moore, Trevor Storton, Paul Crossley"
1971/72,32,Kenny Beamish
1971/72,34,"Ron Yeats, Kenny Beamish"
1971/72,36,Malcolm Moore
1971/72,37,"Kenny Beamish, Malcolm Moore 2, Paul Crossley"
1971/72,39,"Kenny Beamish, OG"
1971/72,41,"Malcolm Moore, John Manning"
1971/72,44,"Trevor Storton 2, Aiden Maher"
1971/72,45,"Alan King, Trevor Storton"
1971/72,47,Kit Fagan
1971/72,48,OG
1971/72,49,Malcolm Moore
1971/72,50,"Ron Yeats, Alex Russell, Kit Fagan"
1971/72,54,"Ron Yeats, Alan King"
1971/72,56,Malcolm Moore
1972/73,3,"Eddie Loyden, Tommy Young"
1972/73,6,"Paul Crossley, Eddie Loyden 2"
1972/73,7,Paul Crossley
1972/73,8,Alex Russell
1972/73,9,Paul Crossley
1972/73,11,"Eddie Flood, Eddie Loyden 3"
1972/73,12,Alex Russell
1972/73,13,Paul Crossley
1972/73,15,Alan Duffy
1972/73,17,Eddie Loyden
1972/73,18,"Malcolm Moore, Ian St John, Eddie Loyden 2"
1972/73,19,Malcolm Moore
1972/73,20,OG
1972/73,21,"Eddie Flood, Malcolm Moore"
1972/73,22,Paul Crossley
1972/73,23,Eddie Loyden
1972/73,24,Tommy Young
1972/73,25,"Tommy Young, Paul Crossley"
1972/73,27,Eddie Loyden
1972/73,28,"Eddie Loyden, Tommy Young 2, Paul Crossley 2"
1972/73,29,"Malcolm Moore, Alan Duffy, Paul Crossley"
1972/73,32,"Bobby Graham 2, Frank D'Arcy, Eddie Loyden, Tommy Young, OG"
1972/73,34,Eddie Loyden
1972/73,35,Eddie Loyden
1972/73,36,"Eddie Loyden, Tommy Young"
1972/73,38,Ron Yeats
1972/73,39,Eddie Loyden
1972/73,40,"Tommy Veitch, Bobby Graham"
1972/73,41,Malcolm Moore
1972/73,43,Tommy Young 2
1972/73,44,"Tommy Young, Paul Crossley"
1972/73,46,Eddie Loyden
1972/73,49,Eddie Loyden
1973/74,2,"Bobby Tynan 2, Paul Crossley"
1973/74,3,"Mark Palios, Hughie McAuley"
1973/74,4,Eddie Loyden
1973/74,5,Eddie Loyden
1973/74,6,Mark Palios
1973/74,8,"Eddie Loyden, Tommy Young"
1973/74,9,Tommy Young
1973/74,11,Eddie Loyden
1973/74,14,Tommy Young
1973/74,15,Mark Palios
1973/74,16,"Ronnie Moore, Russell Allen 2"
1973/74,18,Eddie Loyden
1973/74,19,"Ray Mathias, Paul Crossley, Tommy Young"
1973/74,21,Russell Allen
1973/74,22,"Bobby Tynan, Tommy Young"
1973/74,23,"Ronnie Moore, Bobby Tynan"
1973/74,24,Tommy Young
1973/74,25,"Ronnie Moore, Paul Crossley, Bobby Tynan, Tommy Young"
1973/74,27,Russell Allen
1973/74,29,Paul Crossley
1973/74,34,"Steve Peplow, Eddie Loyden"
1973/74,36,Tommy Young
1973/74,38,"Bobby Tynan, Paul Crossley"
1973/74,42,Paul Crossley
1973/74,44,Barrie Mitchell
1973/74,45,"Ron Yeats, Barrie Mitchell, Paul Crossley"
1973/74,46,"Mark Palios, OG"
1973/74,47,Ron Yeats
1973/74,49,"Russell Allen, Barrie Mitchell, Mark Palios"
1973/74,51,"Tommy Veitch, Bobby Tynan, Paul Crossley"
1973/74,52,"Mark Palios 2, Barrie Mitchell, Paul Crossley 2"
1973/74,53,"Steve Peplow, Bobby Tynan"
1974/75,2,"Paul Crossley, Tommy Young"
1974/75,3,Paul Crossley
1974/75,4,"Steve Coppell, Russell Allen"
1974/75,6,Russell Allen
1974/75,8,OG
1974/75,12,Tommy Young
1974/75,13,"Tommy Veitch, Steve Coppell, Steve Peplow"
1974/75,14,"Steve Coppell, Bobby Tynan, Steve Peplow"
1974/75,16,Tommy Young
1974/75,17,"Steve Coppell, Tommy Young, Russell Allen"
1974/75,19,Steve Peplow
1974/75,20,"Steve Coppell, Bobby Tynan"
1974/75,21,"Eddie Flood, Steve Coppell, Paul Crossley"
1974/75,22,"Steve Coppell, Bobby Tynan"
1974/75,23,"Eddie Flood, Steve Coppell, Bobby Tynan, Tommy Veitch, Paul Crossley 2"
1974/75,24,Bobby Tynan
1974/75,25,OG
1974/75,26,Paul Crossley
1974/75,29,"Bobby Tynan, Tommy Veitch"
1974/75,31,"Steve Coppell, Paul Crossley"
1974/75,33,"Mark Palios, Steve Coppell, Tommy Young"
1974/75,34,"Steve Coppell, Russell Allen, OG"
1974/75,35,Russell Allen
1974/75,36,Paul Crossley
1974/75,39,Mark Palios
1974/75,40,Paul Crossley
1974/75,42,Paul Crossley
1974/75,43,"Ray Mathias, Barrie Mitchell 2"
1974/75,44,Russell Allen
1974/75,47,Ronnie Moore
1974/75,50,Paul Crossley 2
1974/75,52,"Russell Allen, Bobby Tynan"
1974/75,53,"Ronnie Moore, Russell Allen"
1975/76,1,Ronnie Moore
1975/76,2,Ronnie Moore
1975/76,3,"Ray Mathias, OG"
1975/76,4,Ronnie Moore 2
1975/76,5,"Ronnie Moore, Russell Allen"
1975/76,6,Russell Allen
1975/76,7,"Ronnie Moore, Bobby Tynan"
1975/76,9,Bobby Tynan
1975/76,10,"Steve Peplow, Bobby Tynan"
1975/76,11,"Steve Peplow, Ronnie Moore"
1975/76,12,"Tommy Young, Barrie Mitchell 2, Ronnie Moore 2, John James 2"
1975/76,13,"Ronnie Moore, John James"
1975/76,14,"John James, Billy Kenny"
1975/76,15,John James
1975/76,16,"Tommy Young, Steve Peplow 3, Ronnie Moore, John James"
1975/76,17,John James
1975/76,18,"Steve Peplow, John James"
1975/76,19,"Ronnie Moore 4, John James"
1975/76,22,"Steve Peplow, Ronnie Moore 2"
1975/76,23,"Steve Peplow, John James 2"
1975/76,25,"Steve Peplow, Barrie Mitchell"
1975/76,27,"Steve Peplow, Ronnie Moore 4"
1975/76,28,"Mark Palios, Ronnie Moore 4"
1975/76,29,Ronnie Moore
1975/76,32,"Ronnie Moore, John James"
1975/76,33,John James
1975/76,34,"Barrie Mitchell, John James"
1975/76,35,"Ray Mathias, Dave Philpotts"
1975/76,36,Mark Palios
1975/76,38,Ronnie Moore
1975/76,39,John James
1975/76,40,"Ronnie Moore, John James"
1975/76,41,"Ronnie Moore, John James"
1975/76,42,"Dave Philpotts, Mark Palios, Ronnie Moore"
1975/76,44,"Mark Palios, Bobby Tynan, Russell Allen"
1975/76,45,Bobby Tynan
1975/76,47,"Steve Peplow, Ronnie Moore, John James"
1975/76,48,Ronnie Moore 3
1975/76,49,"Dave Philpotts, Ronnie Moore"
1975/76,50,"Dave Philpotts, Ronnie Moore, John James"
1976/77,1,John James
1976/77,2,"Ronnie Moore, John James 2"
1976/77,4,Ronnie Moore
1976/77,6,Bobby Tynan
1976/77,8,"Billy Kenny, Russell Allen"
1976/77,9,Bobby Tynan
1976/77,10,Russell Allen
1976/77,11,Steve Peplow
1976/77,13,"Bobby Tynan, Russell Allen"
1976/77,14,"Billy Kenny, Ronnie Moore"
1976/77,15,Billy Kenny
1976/77,16,Russell Allen
1976/77,19,Tommy Young 2
1976/77,21,"Tommy Young, Russell Allen"
1976/77,22,Russell Allen
1976/77,23,"Tommy Young, OG"
1976/77,24,"Mark Palios, Russell Allen"
1976/77,26,"Mark Palios, Eddie Cliff, Ronnie Moore, Russell Allen"
1976/77,28,Russell Allen
1976/77,29,"Steve Peplow 2, Ronnie Moore, Russell Allen"
1976/77,33,Billy Kenny
1976/77,35,John James
1976/77,37,"Mark Palios, Ronnie Moore, John James, Russell Allen"
1976/77,39,Ronnie Moore
1976/77,41,"Ronnie Moore, Russell Allen"
1976/77,43,"Les Parry, John James"
1976/77,44,Russell Allen
1976/77,45,"Eddie Cliff, Ronnie Moore, Russell Allen"
1976/77,46,"Eddie Flood, Russell Allen"
1976/77,48,"Ronnie Moore, John James"
1976/77,49,Russell Allen
1977/78,2,"Bobby Tynan, Russell Allen"
1977/78,3,"Mark Palios, Russell Allen 2"
1977/78,4,Russell Allen
1977/78,5,Ronnie Moore
1977/78,7,"Clive Evans, Steve Peplow, Ronnie Moore"
1977/78,9,Russell Allen
1977/78,11,"Mark Palios 3, Ronnie Moore, Russell Allen"
1977/78,12,"Steve Peplow, Ronnie Moore"
1977/78,14,Ronnie Moore
1977/78,15,"Dave Philpotts, Bobby Tynan"
1977/78,16,Ronnie Moore
1977/78,18,"Eddie Flood, Mark Palios, Ronnie Moore, Russell Allen, John James"
1977/78,19,"Mark Palios, Russell Allen"
1977/78,20,Ronnie Moore
1977/78,21,Russell Allen
1977/78,22,John James
1977/78,24,Mark Palios
1977/78,25,"Steve Peplow 2, Ronnie Moore 2"
1977/78,26,Bobby Tynan 3
1977/78,27,Ronnie Moore
1977/78,28,"Steve Peplow, Russell Allen"
1977/78,30,Ronnie Moore
1977/78,31,"Ronnie Moore, Bobby Tynan"
1977/78,33,"Mark Palios, Ronnie Moore"
1977/78,37,Bobby Tynan
1977/78,38,Russell Allen
1977/78,41,"Clive Evans, Steve Peplow, Ronnie Moore"
1977/78,43,Russell Allen
1977/78,45,Bobby Tynan
1977/78,46,Steve Peplow
1977/78,47,"Ronnie Moore, Russell Allen"
1977/78,49,"Eddie Cliff, Russell Allen"
1977/78,50,Ronnie Moore
1978/79,1,Hughie McAuley
1978/79,2,Tommy O'Neil
1978/79,3,Steve Peplow
1978/79,4,Steve Peplow
1978/79,5,Eddie Cliff
1978/79,7,Steve Peplow
1978/79,8,"Clive Evans, Ronnie Moore 2"
1978/79,10,"Ronnie Moore, Clive Evans"
1978/79,13,"Tommy O'Neil, John Bramhall, Ronnie Moore 3, Steve Peplow"
1978/79,14,"Clive Evans, John Bramhall"
1978/79,16,Ronnie Moore
1978/79,18,Tommy O'Neil
1978/79,20,Steve Peplow
1978/79,21,"Ronnie Moore, Hughie McAuley"
1978/79,23,Ronnie Moore
1978/79,25,"Steve Craven, Steve Peplow"
1978/79,27,"Clive Evans, Steve Peplow"
1978/79,28,"Les Parry, Ronnie Moore"
1978/79,29,Clive Evans
1978/79,30,John Kerr
1978/79,31,John Kerr
1978/79,32,Dennis Postlewhite
1978/79,36,"Clive Evans, OG"
1978/79,37,"John Kerr, Mark Palios"
1978/79,38,John Kerr
1978/79,40,Clive Evans
1978/79,41,Clive Evans
1978/79,44,Steve Craven
1978/79,45,Clive Evans
1978/79,46,"Clive Evans, John Kerr"
1978/79,47,John Thomas
1978/79,49,John Kerr
1978/79,50,John Thomas
1978/79,51,Steve Peplow
1979/80,1,"Steve Peplow, Jim Lumby"
1979/80,2,Steve Peplow
1979/80,3,"Steve Craven, John Kerr"
1979/80,4,"Elfyn Edwards, Jim Lumby"
1979/80,9,"Steve Craven, Jim Lumby"
1979/80,10,"Tommy O'Neil, Steve Craven, John Kerr, Steve Peplow"
1979/80,11,John Kerr
1979/80,14,John Kerr
1979/80,15,Steve Craven
1979/80,16,"Tommy O'Neil 2, Steve Peplow"
1979/80,18,Clive Evans
1979/80,19,Tommy O'Neil
1979/80,20,Tommy O'Neil
1979/80,22,Kenny Beamish
1979/80,23,Kenny Beamish
1979/80,24,"Clive Evans 2, Tommy O'Neil 2, Jim Lumby 3, Kenny Beamish, OG"
1979/80,25,"Clive Evans, Jim Lumby"
1979/80,26,Kenny Beamish
1979/80,27,"Clive Evans, Steve Peplow"
1979/80,28,Kenny Beamish
1979/80,29,OG
1979/80,31,"Kenny Beamish 3, Steve Peplow"
1979/80,32,Steve Peplow
1979/80,33,"Steve Craven, Kenny Beamish"
1979/80,34,"Clive Evans 2, John Kelly 2, Kenny Beamish"
1979/80,35,Steve Peplow
1979/80,36,John Bramhall
1979/80,37,Tommy O'Neil
1979/80,39,Tommy O'Neil
1979/80,41,"John Kelly, Kenny Beamish"
1979/80,42,Clive Evans
1979/80,43,John Kerr
1979/80,47,"Eddie Flood, John Kelly"
1979/80,49,Tommy O'Neil
1979/80,50,John Kerr
1979/80,51,Steve Peplow
1980/81,1,"Elfyn Edwards, John Kelly, Steve Craven"
1980/81,3,Jim Lumby
1980/81,6,Clive Evans
1980/81,7,"Clive Evans, Jim Lumby 2"
1980/81,8,"John Bramhall, John Kerr"
1980/81,9,Jim Lumby
1980/81,11,Kenny Beamish
1980/81,12,Jim Lumby
1980/81,13,"Jim Lumby 2, Kenny Beamish"
1980/81,14,"Steve Peplow, Jim Lumby 3, Kenny Beamish"
1980/81,15,"Clive Evans, Jim Lumby, Kenny Beamish"
1980/81,16,Jim Lumby
1980/81,17,Steve Peplow
1980/81,18,"Steve Peplow, Steve Mungall, John Kerr"
1980/81,19,"Steve Mungall, Jim Lumby"
1980/81,20,Jim Lumby
1980/81,22,"Clive Evans, Jim Lumby 2"
1980/81,23,Jim Lumby
1980/81,27,"Kenny Beamish, Steve Craven"
1980/81,28,Steve Craven
1980/81,29,"Jim Lumby, John Kerr"
1980/81,32,John Kerr
1980/81,34,John Kelly
1980/81,35,"Les Parry, John Kelly, Kenny Beamish"
1980/81,36,John Kerr
1980/81,37,"Clive Evans, John Kelly"
1980/81,39,Neville Powell
1980/81,41,Clive Evans
1980/81,42,OG
1980/81,43,John Bramhall
1980/81,44,"Kenny Beamish, John Kerr"
1980/81,45,Clive Evans
1980/81,46,"Steve Mungall, John Kelly"
1980/81,47,"Les Parry, Clive Evans"
