season,game_no,player_name,shirt_no,role,on_for,off_for
1922/23,25,Crowther,9,starter,,
1922/23,25,Hilton,10,starter,,
1922/23,25,Evans,11,starter,,
1922/23,26,Gill,1,starter,,
1922/23,26,Hayes C,2,starter,,
1922/23,26,Stuart,3,starter,,
1922/23,26,Campbell,4,starter,,
1922/23,26,Sewell,5,starter,,
1922/23,26,Phillips,6,starter,,
1922/23,26,Moreton,7,starter,,
1922/23,26,Beswick,8,starter,,
1922/23,26,Crowther,9,starter,,
1922/23,26,Hilton,10,starter,,
1922/23,26,Evans,11,starter,,
1922/23,27,Gill,1,starter,,
1922/23,27,Thompson,2,starter,,
1922/23,27,Stuart,3,starter,,
1922/23,27,Campbell,4,starter,,
1922/23,27,Sewell,5,starter,,
1922/23,27,Phillips,6,starter,,
1922/23,27,Moreton,7,starter,,
1922/23,27,Beswick,8,starter,,
1922/23,27,Crowther,9,starter,,
1922/23,27,Hilton,10,starter,,
1922/23,27,Evans,11,starter,,
1922/23,28,Bradshaw,1,starter,,
1922/23,28,Thompson,2,starter,,
1922/23,28,Stuart,3,starter,,
1922/23,28,Campbell,4,starter,,
1922/23,28,Phillips,5,starter,,
1922/23,28,Hawarden,6,starter,,
1922/23,28,Moreton,7,starter,,
1922/23,28,Beswick,8,starter,,
1922/23,28,Crowther,9,starter,,
1922/23,28,Hilton,10,starter,,
1922/23,28,Evans,11,starter,,
1922/23,29,Bradshaw,1,starter,,
1922/23,29,Thompson,2,starter,,
1922/23,29,Stuart,3,starter,,
1922/23,29,Campbell,4,starter,,
1922/23,29,Sewell,5,starter,,
1922/23,29,Hawarden,6,starter,,
1922/23,29,Moreton,7,starter,,
1922/23,29,Beswick,8,starter,,
1922/23,29,Crowther,9,starter,,
1922/23,29,Hilton,10,starter,,
1922/23,29,Evans,11,starter,,
1922/23,30,Bradshaw,1,starter,,
1922/23,30,Thompson,2,starter,,
1922/23,30,Stuart,3,starter,,
1922/23,30,Campbell,4,starter,,
1922/23,30,Halstead,5,starter,,
1922/23,30,Sewell,6,starter,,
1922/23,30,Moreton,7,starter,,
1922/23,30,Beswick,8,starter,,
1922/23,30,Crowther,9,starter,,
1922/23,30,Hawarden,10,starter,,
1922/23,30,Evans,11,starter,,
1922/23,31,Bradshaw,1,starter,,
1922/23,31,Thompson,2,starter,,
1922/23,31,Stuart,3,starter,,
1922/23,31,Campbell,4,starter,,
