season,game_no,player_name,goals_scored
1926/27,17,Fred Marquis,1
1926/27,18,Harry Littlehales,1
1926/27,19,Bert Cartman,1
1926/27,20,Jack Flanagan,1
1926/27,20,Ellis Rimmer,1
1926/27,21,Fred Marquis,1
1926/27,21,Jack Flanagan,1
1926/27,21,Ellis Rimmer,1
1926/27,22,Jack Flanagan,1
1926/27,22,Tommy Jones,1
1926/27,23,Ginger Lewis,1
1926/27,23,Jack Flanagan,5
1926/27,23,OG,1
1926/27,24,Jack Flanagan,1
1926/27,24,Tommy Jones,1
1926/27,25,Vince Matthews,1
1926/27,25,Bob White,1
1926/27,25,Norman Proctor,1
1926/27,25,Jack Flanagan,2
1926/27,25,Tommy Jones,2
1926/27,25,Ellis Rimmer,1
1926/27,27,Ellis Rimmer,1
1926/27,28,Jack Flanagan,1
1926/27,29,Bob White,1
1926/27,29,Jack Flanagan,2
1926/27,30,Ellis Rimmer,1
1926/27,31,Jack Flanagan,1
1926/27,31,Tommy Jones,1
1926/27,32,Ellis Rimmer,1
1926/27,33,Bob White,1
1926/27,33,Fred Marquis,1
1926/27,33,Jack Flanagan,1
1926/27,34,Jack Flanagan,1
1926/27,34,Tommy Jones,1
1926/27,34,Ellis Rimmer,1
1926/27,35,Tommy Jones,1
1926/27,36,Ellis Rimmer,1
1926/27,39,Fred Marquis,1
1926/27,39,Jack Flanagan,1
1926/27,39,Ellis Rimmer,2
1926/27,40,Jack Flanagan,2
1926/27,42,Billy Charlton,2
1926/27,42,Tommy Jones,1
1926/27,43,Fred Marquis,2
1926/27,43,Jack Flanagan,1
1926/27,43,Tommy Jones,3
1926/27,44,Jack Flanagan,1
1926/27,44,Bert Cartman,1
1927/28,1,Jack Flanagan,1
1927/28,2,Billy Charlton,1
1927/28,3,Pongo Waring,2
1927/28,3,Tommy Jones,1
1927/28,4,Ginger Lewis,1
1927/28,4,Ellis Rimmer,1
1927/28,5,Billy Charlton,1
1927/28,5,Pongo Waring,1
1927/28,6,Pongo Waring,2
1927/28,7,Pongo Waring,1
1927/28,9,Bert Cartman,1
1927/28,9,Billy Charlton,1
1927/28,9,Pongo Waring,2
1927/28,9,Ellis Rimmer,1
1927/28,10,Billy Charlton,2
1927/28,10,Harry Littlehales,1
1927/28,11,Billy Charlton,1
1927/28,11,Ellis Rimmer,1
1927/28,12,Pongo Waring,1
1927/28,12,Ellis Rimmer,1
1927/28,14,Billy Charlton,2
1927/28,14,Pongo Waring,1
1927/28,15,Billy Charlton,2
1927/28,15,Pongo Waring,1
1927/28,16,Bert Cartman,1
1927/28,16,Pongo Waring,3
1927/28,16,Ellis Rimmer,1
1927/28,17,Jack Bamber,1
1927/28,17,Ellis Rimmer,2
1927/28,18,Harry Littlehales,1
1927/28,19,Pongo Waring,1
1927/28,20,Ellis Rimmer,1
1927/28,21,Harry Littlehales,1
1927/28,22,Harry Littlehales,1
1927/28,22,Ellis Rimmer,1
1927/28,23,Bert Cartman,1
1927/28,23,Tommy Jones,1
1927/28,23,Pongo Waring,6
1927/28,23,Harry Littlehales,2
1927/28,23,OG,1
1927/28,26,Fred Bedford,1
1927/28,26,Billy Charlton,1
1927/28,26,Pongo Waring,1
1927/28,26,Harry Littlehales,1
1927/28,26,Ellis Rimmer,2
1927/28,27,Fred Bedford,1
1927/28,27,Billy Charlton,1
1927/28,28,Billy Charlton,1
1927/28,28,Pongo Waring,2
1927/28,28,Harry Littlehales,1
1927/28,29,Billy Charlton,1
1927/28,29,Jack Flanagan,1
1927/28,29,Harry Littlehales,1
1927/28,30,Tommy Jones,2
1927/28,30,Billy Charlton,1
1927/28,30,Jack Flanagan,1
1927/28,30,Fred Urmson,1
1927/28,31,Harry Littlehales,1
1927/28,32,Harry Littlehales,1
1927/28,32,Jack Flanagan,1
1927/28,32,Harry Bevan,1
1927/28,33,Billy Charlton,1
1927/28,33,Jack Flanagan,1
1927/28,34,Tommy Jones,1
1927/28,35,Billy Charlton,3
1927/28,35,Jack Flanagan,1
1927/28,35,Harry Littlehales,1
1927/28,36,Tommy Jones,2
1927/28,36,Billy Charlton,1
1927/28,36,Jack Flanagan,3
1927/28,36,Harry Littlehales,1
1927/28,37,Jack Flanagan,1
1927/28,37,Harry Bevan,1
1927/28,37,Fred Urmson,1
1927/28,38,Tommy Jones,1
1927/28,38,Billy Charlton,1
1927/28,38,Harry Littlehales,1
1927/28,39,Billy Charlton,1
1927/28,39,Jack Flanagan,1
1927/28,42,Tommy Jones,2
1927/28,42,Billy Charlton,2
1927/28,42,Jack Flanagan,1
1927/28,44,Jack Flanagan,1
1927/28,44,Harry Littlehales,1
1927/28,45,Sammy Beswick,2
1928/29,1,Tommy Jones,1
1928/29,2,Harry Littlehales,1
1928/29,3,Jack Flanagan,1
1928/29,3,Percy Richards,1
1928/29,4,Billy Charlton,1
1928/29,5,Harry Littlehales,1
1928/29,6,Billy Charlton,1
1928/29,8,Billy Charlton,2
1928/29,8,Harry Littlehales,1
1928/29,9,Fred Urmson,1
1928/29,10,Ginger Lewis,1
1928/29,10,Billy Charlton,1
