game_date,player_name,min_on,min_off,min_so
1994-02-05,Eric Nixon,0,0,73
1994-02-05,Pat Nevin,0,73,0
1994-02-23,Ged Brannan,0,72,0
1994-02-23,Steve Mungall,72,0,0
1994-02-27,Johnny Morrissey,97,0,0
1994-02-27,Mark Hughes,0,90,0
1994-02-27,Pat Nevin,0,97,0
1994-02-27,Tony Thomas,90,0,0
1994-03-05,Chris Malkin,0,73,0
1994-03-05,Johnny Morrissey,46,0,0
1994-03-05,Kenny Irons,73,0,0
1994-03-05,Mark Hughes,0,46,0
1994-03-12,Gary Jones,72,0,0
1994-03-12,Johnny Morrissey,72,0,0
1994-03-12,Kenny Irons,0,72,0
1994-03-12,Mark Hughes,0,72,0
1994-03-19,Ian Muir,81,0,0
1994-03-19,Pat Nevin,0,81,0
1994-03-25,Shaun Garnett,0,29,0
1994-03-25,Steve Mungall,29,0,0
1994-03-29,Kenny Irons,0,68,0
1994-03-29,Steve Mungall,68,0,0
1994-04-04,Gary Jones,84,0,0
1994-04-04,John Aldridge,0,84,0
1994-04-09,Gary Jones,46,0,0
1994-04-09,John Aldridge,0,46,0
1994-04-12,Johnny Morrissey,0,0,44
1994-04-16,Ian Muir,61,0,0
1994-04-16,John Aldridge,0,61,0
1994-04-26,Graham Branch,0,73,0
1994-04-26,Ian Muir,73,0,0
1994-04-30,Ian Muir,40,0,0
1994-04-30,Liam O'Brien,0,40,0
1994-05-08,Graham Branch,0,58,0
1994-05-08,Ian Muir,58,0,0
1994-05-15,Ian Muir,68,0,0
1994-05-15,Kenny Irons,0,68,0
1994-05-18,Eric Nixon,0,0,90
1994-05-18,Ian Muir,55,0,0
1994-05-18,Kenny Irons,0,55,0
1994-05-18,Martin Jones,89,0,0
1994-05-18,Pat Nevin,0,89,0
1994-08-13,Ian Muir,55,0,0
1994-08-13,Shaun Garnett,0,55,0
1994-08-20,Dave Higgins,0,89,0
1994-08-20,Ian Muir,89,0,0
1994-08-20,Steve Mungall,79,0,0
1994-08-20,Tony Thomas,0,79,0
1994-08-24,Chris Malkin,0,45,0
1994-08-24,Danny Coyne,0,45,0
1994-08-24,Dave Higgins,0,45,0
1994-08-24,Eric Nixon,45,0,0
1994-08-24,Ian Muir,45,0,0
1994-08-24,John McGreal,45,0,0
1994-08-27,Ian Muir,75,0,0
1994-08-27,John McGreal,46,0,0
1994-08-27,Pat Nevin,0,75,0
1994-08-27,Shaun Garnett,0,46,0
1994-09-03,Gary Jones,77,0,0
1994-09-03,Johnny Morrissey,0,77,0
1994-09-03,Shaun Garnett,0,81,0
1994-09-03,Steve Mungall,81,0,0
1994-09-06,Ian Thomas-Moore,79,0,0
1994-09-06,Shaun Garnett,0,79,0
1994-09-10,Ian Muir,80,0,0
1994-09-10,Johnny Morrissey,0,80,0
1994-09-14,Mike Edwards,0,73,0
1994-09-14,Steve Mungall,73,0,0
1994-09-17,Gary Jones,46,0,0
1994-09-17,Liam O'Brien,0,46,0
1994-09-17,Steve Mungall,39,0,0
1994-09-17,Tony Thomas,0,39,0
1994-09-20,Dave Higgins,0,58,0
1994-09-20,Gary Jones,58,0,0
1994-09-20,Kenny Irons,0,58,0
1994-09-20,Mike Edwards,58,0,0
1994-09-27,Mike Edwards,68,0,0
1994-09-27,Pat Nevin,0,68,0
1994-10-22,Johnny Morrissey,66,0,0
1994-10-22,Mike Edwards,0,66,0
1994-10-26,Kenny Irons,46,0,0
1994-10-26,Liam O'Brien,0,46,0
1994-11-06,Gary Jones,87,0,0
1994-11-06,Ian Muir,0,87,0
1994-11-15,Jon Kenworthy,77,0,0
1994-11-15,Kenny Irons,0,77,0
1994-11-15,Mark Proctor,77,0,0
1994-11-15,Steve Mungall,0,77,0
1994-12-06,Ian Muir,58,0,0
1994-12-06,Mike Edwards,81,0,0
1994-12-06,Shaun Garnett,0,58,0
1994-12-06,Steve Mungall,0,81,0
1994-12-10,Chris Malkin,0,71,0
1994-12-10,Ian Muir,71,0,0
1994-12-17,Ged Brannan,0,70,0
1994-12-17,Graham Branch,70,0,0
1994-12-26,Dave Higgins,0,73,0
1994-12-26,Steve Mungall,73,0,0
1995-01-02,John McGreal,0,46,0
1995-01-02,Steve Mungall,46,0,0
1995-01-07,Ian Muir,46,0,0
1995-01-07,Steve Mungall,0,46,0
1995-01-15,Dave Higgins,0,70,0
1995-01-15,Ged Brannan,70,0,0
1995-01-18,Gary Jones,46,0,0
1995-01-18,Gary Stevens,0,46,0
1995-01-22,Liam O'Brien,0,46,0
1995-01-22,Steve Mungall,46,0,0
1995-01-29,Ged Brannan,62,0,0
1995-01-29,Ian Muir,0,60,0
1995-01-29,John Aldridge,60,0,0
1995-01-29,Liam O'Brien,0,62,0
1995-02-11,Gary Jones,12,0,0
1995-02-11,Kenny Irons,0,12,0
1995-02-11,Shaun Garnett,0,0,40
1995-02-21,Chris Malkin,0,73,0
1995-02-21,Gary Jones,73,0,0
1995-02-21,Johnny Morrissey,66,0,0
1995-02-21,Kenny Irons,0,66,0
1995-02-25,Chris Malkin,0,81,0
1995-02-25,John Aldridge,81,0,0
1995-03-05,Chris Malkin,0,65,0
1995-03-05,Ged Brannan,0,72,0
1995-03-05,John Aldridge,65,0,0
1995-03-05,Kenny Irons,72,0,0
1995-03-07,Chris Malkin,66,0,0
1995-03-07,Gary Jones,76,0,0
1995-03-07,Ian Muir,0,66,0
1995-03-07,Pat Nevin,0,76,0
1995-03-11,Ian Muir,55,0,0
