season,game_no,player_name,goals_scored,game_date,opposition,venue,score,goals_for,goals_against,generic_comp,game_type,league_tier,manager
1923/24,22,Johnny Campbell,1,1923-12-25,Ashington,H,2-4,2,4,Football League,League,3,Bert Cooke
1923/24,22,Stan Sayer,1,1923-12-25,Ashington,H,2-4,2,4,Football League,League,3,Bert Cooke
1923/24,23,Stan Sayer,1,1923-12-26,Wrexham,A,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,24,Stan Sayer,1,1924-01-01,Bradford Park Avenue,H,2-1,2,1,Football League,League,3,Bert Cooke
1923/24,24,Bert Cartman,1,1924-01-01,Bradford Park Avenue,H,2-1,2,1,Football League,League,3,Bert Cooke
1923/24,25,Fred Halstead,1,1924-01-05,Wrexham,H,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,26,Tom Stuart,1,1924-01-12,Rotherham County,A,1-5,1,5,Football League,League,3,Bert Cooke
1923/24,27,Johnny Campbell,1,1924-01-19,Hartlepools United,H,2-0,2,0,Football League,League,3,Bert Cooke
1923/24,27,Sammy Beswick,1,1924-01-19,Hartlepools United,H,2-0,2,0,Football League,League,3,Bert Cooke
1923/24,28,Tom Stuart,1,1924-01-26,Hartlepools United,A,1-2,1,2,Football League,League,3,Bert Cooke
1923/24,29,Johnny Campbell,1,1924-02-02,Accrington Stanley,H,2-0,2,0,Football League,League,3,Bert Cooke
1923/24,29,Stan Sayer,1,1924-02-02,Accrington Stanley,H,2-0,2,0,Football League,League,3,Bert Cooke
1923/24,30,Jimmy Moreton,1,1924-02-09,Accrington Stanley,A,1-3,1,3,Football League,League,3,Bert Cooke
1923/24,31,Bert Cartman,1,1924-02-16,Crewe Alexandra,A,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,32,Harry Littlehales,1,1924-02-23,Crewe Alexandra,H,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,33,Stan Sayer,1,1924-03-01,Durham City,A,1-1,1,1,Football League,League,3,Bert Cooke
1923/24,34,Jimmy Moreton,1,1924-03-08,Durham City,H,1-0,1,0,Football League,League,3,Bert Cooke
1923/24,35,Harry Littlehales,2,1924-03-15,Wigan Borough,A,2-1,2,1,Football League,League,3,Bert Cooke
1923/24,36,Stan Sayer,1,1924-03-22,Wigan Borough,H,1-0,1,0,Football League,League,3,Bert Cooke
1923/24,37,Jack Brown,1,1924-03-29,Ashington,A,3-3,3,3,Football League,League,3,Bert Cooke
1923/24,37,Harry Littlehales,1,1924-03-29,Ashington,A,3-3,3,3,Football League,League,3,Bert Cooke
1923/24,37,OG,1,1924-03-29,Ashington,A,3-3,3,3,Football League,League,3,Bert Cooke
1923/24,39,Jimmy Moreton,2,1924-04-12,Walsall,A,4-0,4,0,Football League,League,3,Bert Cooke
1923/24,39,Stan Sayer,1,1924-04-12,Walsall,A,4-0,4,0,Football League,League,3,Bert Cooke
1923/24,39,Harry Littlehales,1,1924-04-12,Walsall,A,4-0,4,0,Football League,League,3,Bert Cooke
1923/24,40,Jack Brown,1,1924-04-18,Doncaster Rovers,H,3-0,3,0,Football League,League,3,Bert Cooke
1923/24,40,Stan Sayer,1,1924-04-18,Doncaster Rovers,H,3-0,3,0,Football League,League,3,Bert Cooke
1923/24,40,Harry Littlehales,1,1924-04-18,Doncaster Rovers,H,3-0,3,0,Football League,League,3,Bert Cooke
1923/24,41,Jack Brown,2,1924-04-19,Walsall,H,3-1,3,1,Football League,League,3,Bert Cooke
1923/24,41,Harry Littlehales,1,1924-04-19,Walsall,H,3-1,3,1,Football League,League,3,Bert Cooke
1923/24,45,Jack Brown,1,1924-04-28,Rochdale,H,2-1,2,1,Football League,League,3,Bert Cooke
1923/24,45,Bert Cartman,1,1924-04-28,Rochdale,H,2-1,2,1,Football League,League,3,Bert Cooke
1924/25,1,Johnny Campbell,1,1924-08-30,Crewe Alexandra,A,2-0,2,0,Football League,League,3,Bert Cooke
1924/25,1,Harry Littlehales,1,1924-08-30,Crewe Alexandra,A,2-0,2,0,Football League,League,3,Bert Cooke
1924/25,3,Jack Brown,1,1924-09-06,Durham City,H,1-1,1,1,Football League,League,3,Bert Cooke
1924/25,5,Dixie Dean,1,1924-09-20,Southport,H,1-0,1,0,Football League,League,3,Bert Cooke
1924/25,8,Jimmy Moreton,1,1924-10-04,Nelson,H,2-0,2,0,Football League,League,3,Bert Cooke
1924/25,8,Dixie Dean,1,1924-10-04,Nelson,H,2-0,2,0,Football League,League,3,Bert Cooke
1924/25,9,Dixie Dean,1,1924-10-11,Barrow,A,1-1,1,1,Football League,League,3,Bert Cooke
1924/25,10,Dixie Dean,2,1924-10-18,Lincoln City,A,2-3,2,3,Football League,League,3,Bert Cooke
1924/25,11,Stan Sayer,1,1924-10-25,Hartlepools United,H,4-3,4,3,Football League,League,3,Bert Cooke
1924/25,11,Dixie Dean,3,1924-10-25,Hartlepools United,H,4-3,4,3,Football League,League,3,Bert Cooke
1924/25,12,Dixie Dean,1,1924-11-01,Rochdale,A,1-2,1,2,Football League,League,3,Bert Cooke
1924/25,14,Bert Cartman,1,1924-11-15,Crewe Alexandra,H,1-1,1,1,FA Cup,Cup,NA,Bert Cooke
1924/25,15,Johnny Campbell,1,1924-11-19,Crewe Alexandra,A,2-0,2,0,FA Cup,Cup,NA,Bert Cooke
1924/25,15,Harry Littlehales,1,1924-11-19,Crewe Alexandra,A,2-0,2,0,FA Cup,Cup,NA,Bert Cooke
1924/25,16,Tom Stuart,1,1924-11-22,Wrexham,H,2-0,2,0,Football League,League,3,Bert Cooke
1924/25,16,Harry Littlehales,1,1924-11-22,Wrexham,H,2-0,2,0,Football League,League,3,Bert Cooke
1924/25,17,Stan Sayer,1,1924-11-29,Southport,H,1-1,1,1,FA Cup,Cup,NA,Bert Cooke
1924/25,19,Jack Brown,1,1924-12-06,Chesterfield,H,5-1,5,1,Football League,League,3,Bert Cooke
1924/25,19,Dixie Dean,2,1924-12-06,Chesterfield,H,5-1,5,1,Football League,League,3,Bert Cooke
1924/25,19,Harry Littlehales,2,1924-12-06,Chesterfield,H,5-1,5,1,Football League,League,3,Bert Cooke
1924/25,20,Dixie Dean,2,1924-12-20,Halifax Town,A,3-1,3,1,Football League,League,3,Bert Cooke
1924/25,20,Stan Sayer,1,1924-12-20,Halifax Town,A,3-1,3,1,Football League,League,3,Bert Cooke
1924/25,22,Dixie Dean,2,1924-12-27,Crewe Alexandra,H,2-2,2,2,Football League,League,3,Bert Cooke
1924/25,23,Dixie Dean,1,1925-01-01,New Brighton,H,1-3,1,3,Football League,League,3,Bert Cooke
1924/25,25,Harry Littlehales,1,1925-01-17,Doncaster Rovers,H,1-2,1,2,Football League,League,3,Bert Cooke
1924/25,27,Billy Fogg,1,1925-01-31,Ashington,H,5-4,5,4,Football League,League,3,Bert Cooke
1924/25,27,Dixie Dean,2,1925-01-31,Ashington,H,5-4,5,4,Football League,League,3,Bert Cooke
1924/25,27,Harry Littlehales,2,1925-01-31,Ashington,H,5-4,5,4,Football League,League,3,Bert Cooke
1924/25,28,Dixie Dean,1,1925-02-07,Nelson,A,1-4,1,4,Football League,League,3,Bert Cooke
1924/25,29,Billy Fogg,1,1925-02-14,Barrow,H,4-1,4,1,Football League,League,3,Bert Cooke
1924/25,29,Dixie Dean,3,1925-02-14,Barrow,H,4-1,4,1,Football League,League,3,Bert Cooke
1924/25,31,Dixie Dean,1,1925-02-28,Hartlepools United,A,1-2,1,2,Football League,League,3,Bert Cooke
1924/25,32,Harry Littlehales,1,1925-03-04,Bradford Park Avenue,A,1-5,1,5,Football League,League,3,Bert Cooke
1924/25,33,Dixie Dean,3,1925-03-07,Rochdale,H,3-1,3,1,Football League,League,3,Bert Cooke
1924/25,34,Dixie Dean,1,1925-03-14,Darlington,A,1-2,1,2,Football League,League,3,Bert Cooke
1924/25,35,Fred Halstead,1,1925-03-18,Durham City,A,3-0,3,0,Football League,League,3,Bert Cooke
1924/25,35,Billy Fogg,1,1925-03-18,Durham City,A,3-0,3,0,Football League,League,3,Bert Cooke
1924/25,35,Ellis Rimmer,1,1925-03-18,Durham City,A,3-0,3,0,Football League,League,3,Bert Cooke
1924/25,36,Tom Stuart,1,1925-03-21,Bradford Park Avenue,H,2-0,2,0,Football League,League,3,Bert Cooke
1924/25,36,Harry Littlehales,1,1925-03-21,Bradford Park Avenue,H,2-0,2,0,Football League,League,3,Bert Cooke
1924/25,38,Harry Littlehales,1,1925-04-04,Rotherham County,H,1-0,1,0,Football League,League,3,Bert Cooke
1924/25,39,Stan Sayer,1,1925-04-10,Grimsby Town,H,2-3,2,3,Football League,League,3,Bert Cooke
1924/25,39,Bert Cartman,1,1925-04-10,Grimsby Town,H,2-3,2,3,Football League,League,3,Bert Cooke
1924/25,40,Tom Stuart,1,1925-04-11,Chesterfield,A,1-4,1,4,Football League,League,3,Bert Cooke
1924/25,41,Jimmy Jackson,1,1925-04-13,Grimsby Town,A,1-6,1,6,Football League,League,3,Bert Cooke
1924/25,42,Tom Stuart,1,1925-04-14,Wigan Borough,H,2-3,2,3,Football League,League,3,Bert Cooke
1924/25,42,Jack Brown,1,1925-04-14,Wigan Borough,H,2-3,2,3,Football League,League,3,Bert Cooke
1924/25,43,Billy Fogg,1,1925-04-18,Accrington Stanley,H,2-1,2,1,Football League,League,3,Bert Cooke
1924/25,43,Stan Sayer,1,1925-04-18,Accrington Stanley,H,2-1,2,1,Football League,League,3,Bert Cooke
1924/25,44,Billy Fogg,1,1925-04-22,Accrington Stanley,A,1-2,1,2,Football League,League,3,Bert Cooke
1925/26,1,Billy Roberts,1,1925-08-29,Durham City,H,2-1,2,1,Football League,League,3,Bert Cooke
1925/26,1,Fred Marquis,1,1925-08-29,Durham City,H,2-1,2,1,Football League,League,3,Bert Cooke
1925/26,3,Vince Matthews,1,1925-09-05,Hartlepools United,A,2-3,2,3,Football League,League,3,Bert Cooke
