game_date,player_name,goal_min,penalty
1927-10-15,Pongo Waring,,
1927-10-22,Billy Charlton,,
1927-10-22,Billy Charlton,,
1927-10-22,Harry Littlehales,,
1927-10-29,Billy Charlton,,
1927-10-29,Ellis Rimmer,,
1927-11-05,Ellis Rimmer,,
1927-11-05,Pongo Waring,,
1927-11-19,Billy Charlton,,
1927-11-19,Billy Charlton,,
1927-11-19,Pongo Waring,,
1927-11-26,Billy Charlton,,
1927-11-26,Billy Charlton,,
1927-11-26,Pongo Waring,,
1927-12-03,Bert Cartman,,
1927-12-03,Ellis Rimmer,,
1927-12-03,Pongo Waring,,
1927-12-03,Pongo Waring,,
1927-12-03,Pongo Waring,,
1927-12-10,Ellis Rimmer,,
1927-12-10,Ellis Rimmer,,
1927-12-10,Jack Bamber,,
1927-12-17,Harry Littlehales,,
1927-12-24,Pongo Waring,,
1927-12-27,Ellis Rimmer,,
1927-12-31,Harry Littlehales,,
1928-01-02,Ellis Rimmer,,
1928-01-02,Harry Littlehales,,
1928-01-07,Bert Cartman,,
1928-01-07,Harry Littlehales,,
1928-01-07,Harry Littlehales,,
1928-01-07,OG,,
1928-01-07,Pongo Waring,,
1928-01-07,Pongo Waring,,
1928-01-07,Pongo Waring,,
1928-01-07,Pongo Waring,,
1928-01-07,Pongo Waring,,
1928-01-07,Pongo Waring,,
1928-01-07,Tommy Jones,,
1928-01-28,Billy Charlton,,
1928-01-28,Ellis Rimmer,,
1928-01-28,Ellis Rimmer,,
1928-01-28,Fred Bedford,,
1928-01-28,Harry Littlehales,,
1928-01-28,Pongo Waring,,
1928-02-04,Billy Charlton,,
1928-02-04,Fred Bedford,,
1928-02-11,Billy Charlton,,
1928-02-11,Harry Littlehales,,
1928-02-11,Pongo Waring,,
1928-02-11,Pongo Waring,,
1928-02-15,Billy Charlton,,
1928-02-15,Harry Littlehales,,
1928-02-15,Jack Flanagan,,
1928-02-18,Billy Charlton,,
1928-02-18,Fred Urmson,,
1928-02-18,Jack Flanagan,,
1928-02-18,Tommy Jones,,
1928-02-18,Tommy Jones,,
1928-02-25,Harry Littlehales,,
1928-03-03,Harry Bevan,,
1928-03-03,Harry Littlehales,,
1928-03-03,Jack Flanagan,,
1928-03-10,Billy Charlton,,
1928-03-10,Jack Flanagan,,
1928-03-17,Tommy Jones,,
1928-03-24,Billy Charlton,,
1928-03-24,Billy Charlton,,
1928-03-24,Billy Charlton,,
1928-03-24,Harry Littlehales,,
1928-03-24,Jack Flanagan,,
1928-03-31,Billy Charlton,,
1928-03-31,Harry Littlehales,,
1928-03-31,Jack Flanagan,,
1928-03-31,Jack Flanagan,,
1928-03-31,Jack Flanagan,,
1928-03-31,Tommy Jones,,
1928-03-31,Tommy Jones,,
1928-04-06,Fred Urmson,,
1928-04-06,Harry Bevan,,
1928-04-06,Jack Flanagan,,
1928-04-07,Billy Charlton,,
1928-04-07,Harry Littlehales,,
1928-04-07,Tommy Jones,,
1928-04-09,Billy Charlton,,
1928-04-09,Jack Flanagan,,
1928-04-24,Billy Charlton,,
1928-04-24,Billy Charlton,,
1928-04-24,Jack Flanagan,,
1928-04-24,Tommy Jones,,
1928-04-24,Tommy Jones,,
1928-05-01,Harry Littlehales,,
1928-05-01,Jack Flanagan,,
1928-05-05,Sammy Beswick,,
1928-05-05,Sammy Beswick,,
1928-08-25,Tommy Jones,,
1928-08-27,Harry Littlehales,,
1928-09-01,Jack Flanagan,,
1928-09-01,Percy Richards,,
1928-09-05,Billy Charlton,,
1928-09-08,Harry Littlehales,,
1928-09-15,Billy Charlton,,
1928-09-29,Billy Charlton,,
1928-09-29,Billy Charlton,,
1928-09-29,Harry Littlehales,,
1928-10-06,Fred Urmson,,
1928-10-13,Billy Charlton,,
1928-10-13,Ginger Lewis,,
1928-10-13,Jack Flanagan,,
1928-10-20,Jack Bamber,,
1928-10-27,Harry Littlehales,,
1928-11-03,Bert Cartman,,
1928-11-03,Billy Charlton,,
1928-11-03,Billy Charlton,,
1928-11-03,Harry Littlehales,,
1928-11-03,Sammy Beswick,,
1928-11-03,Sammy Beswick,,
1928-11-10,Sammy Beswick,,
1928-11-10,Sammy Beswick,,
1928-11-17,Bert Cartman,,
1928-11-17,Bert Cartman,,
1928-11-17,Harry Littlehales,,
1928-11-17,Harry Littlehales,,
1928-11-17,Harry Littlehales,,
1928-11-17,Harry Littlehales,,
1928-11-24,Jack Flanagan,,
1928-11-24,Sammy Beswick,,
1928-12-01,Harry Littlehales,,
1928-12-01,OG,,
1928-12-01,Tommy Jones,,
1928-12-15,Sammy Beswick,,
1928-12-15,Tommy Jones,,
1928-12-22,Sammy Beswick,,
1928-12-25,Sammy Beswick,,
1928-12-29,Bert Cartman,,
1928-12-29,Sammy Beswick,,
1929-01-01,Bert Cartman,,
1929-01-12,Sammy Beswick,,
1929-01-19,Bert Cartman,,
1929-01-19,Bert Cartman,,
1929-02-02,Harry Littlehales,,
1929-02-09,Teddy Barton,,
1929-02-16,Jack Flanagan,,
1929-02-23,Ginger Lewis,,
1929-03-02,Billy Charlton,,
1929-03-02,Fred Urmson,,
1929-03-09,Billy Charlton,,
1929-03-09,Billy Charlton,,
1929-03-09,Billy Charlton,,
1929-03-09,Sammy Beswick,,
1929-03-09,Tommy Jones,,
1929-03-16,Robert Gray,,
1929-03-16,Sammy Beswick,,
1929-03-23,Billy Charlton,,
1929-03-23,OG,,
1929-03-23,Sammy Beswick,,
1929-03-23,Sammy Beswick,,
1929-03-29,Billy Charlton,,
1929-03-29,Sammy Beswick,,
1929-03-29,Sammy Beswick,,
1929-03-30,Harry Littlehales,,
1929-03-30,Tommy Jones,,
1929-04-01,Fred Urmson,,
1929-04-02,Fred Urmson,,
1929-04-06,Bert Cartman,,
1929-04-06,Fred Urmson,,
1929-04-06,Harry Littlehales,,
1929-04-06,Sammy Beswick,,
1929-04-13,Sammy Beswick,,
1929-04-13,Tommy Jones,,
1929-04-20,Billy Charlton,,
1929-04-27,Billy Charlton,,
1929-04-27,Tommy Jones,,
1929-05-04,Bill Ridding,,
1929-05-04,Billy Charlton,,
1929-05-04,Tommy Naylor,,
1929-08-31,Archie Waterston,,
1929-08-31,Archie Waterston,,
1929-08-31,Billy Charlton,,
1929-08-31,Sammy Meston,,
1929-08-31,Tommy Naylor,,
1929-09-02,Archie Waterston,,
1929-09-02,Archie Waterston,,
1929-09-02,Archie Waterston,,
1929-09-07,Sammy Meston,,
1929-09-09,Billy Charlton,,
1929-09-14,Archie Waterston,,
1929-09-14,Archie Waterston,,
1929-09-14,Archie Waterston,,
1929-09-14,Billy Charlton,,
1929-09-14,Reg Cropper,,
1929-09-21,Archie Waterston,,
1929-09-21,Archie Waterston,,
1929-09-21,Ginger Lewis,,
1929-09-28,Billy Charlton,,
1929-09-28,Reg Cropper,,
1929-09-28,Reg Cropper,,
1929-10-12,Archie Waterston,,
1929-10-12,Billy Charlton,,
1929-10-19,Archie Waterston,,
1929-10-19,Bert Cartman,,
1929-11-02,Billy Charlton,,
1929-11-09,Archie Waterston,,
1929-11-09,Bert Cartman,,
1929-11-09,Billy Charlton,,
1929-11-09,Billy Charlton,,
1929-11-16,Bill Ridding,,
1929-11-16,Bill Ridding,,
1929-11-23,Archie Waterston,,
1929-11-23,Billy Charlton,,
1929-11-23,Billy Charlton,,
1929-11-30,Archie Waterston,,
1929-11-30,Sammy Meston,,
1929-12-25,Bill Ridding,,
1929-12-25,Fred Urmson,,
1929-12-25,Fred Urmson,,
1930-01-04,Bert Cartman,,
1930-01-04,Fred Urmson,,
1930-01-11,Archie Waterston,,
1930-01-11,Billy Charlton,,
1930-01-11,Billy Charlton,,
1930-01-18,Archie Waterston,,
1930-01-18,Billy Charlton,,
1930-01-18,Ginger Lewis,,
1930-01-25,Bert Cartman,,
1930-01-25,Billy Charlton,,
1930-02-01,Bill Ridding,,
1930-02-01,Reg Cropper,,
1930-02-08,Bill Ridding,,
1930-02-08,Bill Ridding,,
1930-02-08,Bill Ridding,,
1930-02-08,Billy Charlton,,
1930-02-08,Billy Charlton,,
1930-02-08,Fred Urmson,,
1930-02-08,Fred Urmson,,
1930-02-15,Bill Ridding,,
1930-02-20,Bill Ridding,,
1930-02-20,Bill Ridding,,
1930-02-20,Bill Ridding,,
1930-02-20,Bill Ridding,,
1930-02-20,Billy Charlton,,
1930-02-22,Billy Charlton,,
1930-03-01,Bert Cartman,,
1930-03-01,Bert Cartman,,
1930-03-01,Sammy Meston,,
1930-03-01,Sammy Meston,,
1930-03-08,Archie Waterston,,
1930-03-15,Sammy Meston,,
1930-03-15,Sammy Meston,,
1930-03-15,Teddy Barton,,
1930-03-22,Sammy Meston,,
1930-03-29,Archie Waterston,,
1930-03-29,Billy Charlton,,
1930-03-29,Fred Urmson,,
1930-04-05,Billy Charlton,,
1930-04-05,Fred Urmson,,
1930-04-12,Fred Urmson,,
1930-04-12,Sammy Meston,,
1930-04-19,Sammy Meston,,
1930-04-22,Fred Urmson,,
1930-04-26,Farewell Watts,,
1930-08-30,Farewell Watts,,
1930-08-30,Farewell Watts,,
1930-08-30,Jack Kennedy,,
1930-09-01,Ernie Dixon,,
1930-09-01,Jack Kennedy,,
1930-09-06,Ernie Dixon,,
1930-09-06,Farewell Watts,,
1930-09-06,Farewell Watts,,
1930-09-10,Ernie Dixon,,
1930-09-13,Ernie Dixon,,
1930-09-13,Sammy Meston,,
1930-09-18,Farewell Watts,,
1930-09-18,Farewell Watts,,
1930-09-18,Sammy Meston,,
1930-09-18,Sammy Meston,,
1930-09-20,Ernie Dixon,,
1930-09-20,Farewell Watts,,
1930-09-20,Farewell Watts,,
1930-09-20,Jack Kennedy,,
1930-09-20,Jack Kennedy,,
1930-09-20,Jack Kennedy,,
1930-09-20,OG,,
1930-09-27,Ernie Dixon,,
